POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings,Year
1,ShaneWatson,406.5,15,17,158,47,19,2,0,2008
2,Sanath Jayasuriya,308.5,14,4,36,58,31,2,0,2008
3,Yusuf Pathan,290.5,16,8,60,43,25,3,0,2008
4,Albie Morkel,261,13,17,100,18,14,3,0,2008
5,Irfan Pathan,259,14,15,153,9,6,4,0,2008
6,Shaun Marsh,246,11,0,0,59,26,3,0,2008
7,Manpreet Gony,236,16,17,156,2,3,2,0,2008
8,Shaun Pollock,232.5,13,11,131,12,8,2,0,2008
9,Virender Sehwag,224.5,14,3,18,46,21,3,0,2008
10,Piyush Chawla,222,15,17,112,10,3,6,0,2008
11,Sohail Tanvir,220,11,22,122,3,1,4,0,2008
12,Sourav Ganguly,214.5,13,6,46,33,15,5,0,2008
13,Shane Warne,214,15,19,108,7,2,6,0,2008
14,Adam Gilchrist,211.5,14,0,0,51,19,6,1,2008
15,Shanthakumaran Sreesanth,204.5,15,19,133,0,0,2,0,2008
16,Glenn McGrath,203.5,14,12,154,1,0,2,0,2008
17,Gautam Gambhir,203,14,0,0,68,8,2,0,2008
18,Praveen Kumar,198.5,13,11,109,10,6,2,0,2008
19,RP Singh,195.5,14,15,122,2,1,5,0,2008
20,Munaf Patel,195,15,14,141,0,0,2,0,2008
21,MF Maharoof,193.5,10,15,84,10,7,3,0,2008
22,Rohit Sharma,191,13,1,6,38,19,8,0,2008
23,Suresh Raina,183,16,1,4,35,18,10,0,2008
24,Ashish Nehra,183,14,12,121,0,0,8,0,2008
25,James Hopes,180.5,11,7,53,27,8,3,0,2008
26,Dwayne Bravo,179.5,9,11,66,19,5,4,0,2008
27,Muttiah Muralitharan,175.5,15,11,127,0,0,4,0,2008
28,Yuvraj Singh,171,15,3,14,24,19,8,0,2008
29,Graeme Smith,168,11,0,0,54,8,2,0,2008
30,Siddharth Trivedi,164.5,15,13,104,0,0,6,0,2008
31,MS Dhoni,162.5,16,0,0,38,15,6,0,2008
32,Yo Mahesh,162.5,11,16,94,0,0,5,0,2008
33,Dale Steyn,161,10,10,116,0,0,4,0,2008
34,Zaheer Khan,158,11,13,100,4,0,1,0,2008
35,David Hussey,150.5,13,2,24,19,17,5,0,2008
36,Ishant Sharma,149.5,13,8,114,1,0,2,0,2008
