Toss Decision,Match ID,Toss Winner,Team1,Team2,Winner,DL Method,Total Balls
bat,1,Pune Warriors,Pune Warriors,Delhi Daredevils,Pune Warriors,0.0,250.0
,2,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,0.0,253.0
,7,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,0.0,222.0
,8,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,0.0,246.0
,9,Kings XI Punjab,Pune Warriors,Kings XI Punjab,Pune Warriors,0.0,207.0
,11,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,0.0,219.0
,12,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,0.0,250.0
,13,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0.0,248.0
,15,Delhi Daredevils,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,0.0,248.0
,16,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Mumbai Indians,0.0,247.0
,18,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,0.0,239.0
,20,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,0.0,236.0
,21,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,0.0,242.0
,22,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,0.0,249.0
,24,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,0.0,215.0
,32,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,0.0,247.0
,33,Deccan Chargers,Deccan Chargers,Rajasthan Royals,Deccan Chargers,0.0,241.0
,34,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,0.0,244.0
,35,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,0.0,247.0
,37,Kolkata Knight Riders,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,0.0,255.0
,38,Royal Challengers Bangalore,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,0.0,247.0
,44,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,0.0,235.0
,45,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Deccan Chargers,0.0,243.0
,48,Deccan Chargers,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,0.0,205.0
,49,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,0.0,245.0
,51,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,0.0,241.0
,52,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,0.0,246.0
,53,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0.0,244.0
,54,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,0.0,237.0
,55,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,0.0,242.0
,57,Pune Warriors,Mumbai Indians,Pune Warriors,Mumbai Indians,0.0,230.0
,59,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,0.0,254.0
,60,Rajasthan Royals,Rajasthan Royals,Pune Warriors,Rajasthan Royals,0.0,244.0
