Player,Pts,POS,4S,6S,Catches,Dots,Mat,Stumpings,Wkts
Aakash Chopra,23,428,7,0,2,0,7,0,0
Aaron Finch,751,"9,952",176,67,24,13,75,0,1
Aavishkar Salvi,30,608,0,0,1,17,2,0,3
AB de Villiers,"1,713","11,507",318,200,80,0,139,7,0
Abdur Razzak,5,153,0,0,0,5,1,0,0
Abhimanyu Mithun,146,"3,173",4,1,7,90,16,0,7
Abhinav Mukund,10,"1,199",1,0,3,0,3,0,0
Abhishek Jhunjhunwala,121,"1,824",19,5,10,27,21,0,1
Abhishek Nayar,341,"4,304",55,20,13,69,60,0,9
Abhishek Raut,94,"1,299",13,7,10,12,22,0,0
Abhishek Sharma,37,"3,760",4,5,2,1,6,0,1
Abrar Kazi,2,670,0,0,0,2,1,0,0
Abu Nechim,112,"4,317",3,0,1,77,10,0,7
Adam Gilchrist,810,"2,535",185,63,41,1,64,8,1
Adam Milne,59,"3,117",0,0,5,32,5,0,4
Adam Voges,66,391,15,3,1,15,9,0,0
Adam Zampa,139,"3,035",1,0,0,70,11,0,19
AdamGilchrist,282,163,54,29,10,0,16,8,0
Aditya Dole,55,396,3,1,2,21,3,0,5
Aditya Tare,159,"7,063",40,11,3,0,35,5,0
Adrian Barath,16,451,5,1,0,0,3,0,0
Aiden Blizzard,70,"1,427",21,2,4,0,7,0,0
Ajantha Mendis,109,"1,818",0,0,2,76,10,0,8
Ajinkya Rahane,"1,412","11,468",404,74,55,2,140,0,1
Ajit Agarkar,418,"3,025",13,5,5,254,42,0,29
Ajit Chandila,159,"1,729",0,0,7,103,12,0,11
Akila Dananjaya,6,"1,816",0,0,0,6,1,0,0
Akshath Reddy,56,"1,814",15,2,2,3,12,0,1
Akshdeep Nath,30,"6,954",7,2,2,0,14,0,0
Albie Morkel,"1,338","6,557",61,55,19,648,91,0,85
Alex Hales,59,"1,775",13,6,2,0,6,0,0
Alfonso Thomas,189,"1,328",1,1,3,126,15,0,14
Ali Murtaza,143,"2,818",1,0,3,101,12,0,9
Alzarri Joseph,54,"1,915",2,0,1,25,3,0,6
Ambati Rayudu,"1,256","11,559",278,120,53,3,147,2,0
Amit Mishra,"1,806","11,631",29,5,22,"1,111",147,0,157
Amit Paunikar,25,"1,095",9,0,1,0,5,0,0
Amit Singh,290,"1,522",0,0,1,189,23,0,28
Amit Uniyal,15,454,0,0,0,8,2,0,2
Anand Rajan,93,"2,408",0,0,3,57,8,0,8
Andre Nel,11,139,0,0,0,7,1,0,1
Andre Russell,589,"6,071",30,49,11,210,37,0,30
AndreRussell,681,"3,039",66,71,10,155,27,0,25
Andrew Flintoff,57,240,5,2,4,20,3,0,2
Andrew McDonald,123,"2,884",9,4,0,48,10,0,11
Andrew Symonds,643,"1,142",74,41,21,192,39,0,20
Andrew Tye,373,"5,199",6,4,7,190,26,0,39
Angelo Mathews,578,"5,195",44,29,19,224,49,0,27
