POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,Andre Russell,312,13,14,94,35,19,6,0
2,Dwayne Bravo,284,17,26,88,22,5,13,0
3,David Warner,256,14,0,0,65,21,8,0
4,Ashish Nehra,254.5,16,22,170,0,0,3,0
5,AB de Villiers,247,16,0,0,60,22,8,0
6,Harbhajan Singh,241.5,15,18,117,9,9,3,0
7,Chris Gayle,236,14,0,3,39,38,1,0
8,Lasith Malinga,231.5,15,24,140,1,0,2,0
9,Lendl Simmons,228.5,13,0,0,56,21,6,0
10,Shane Watson,227,10,6,62,37,14,1,0
11,JP Duminy,218.5,14,8,33,27,20,8,0
12,Dwayne Smith,216,16,1,4,52,16,9,0
13,Kieron Pollard,215,16,3,14,28,28,9,0
14,Brendon McCullum,213,14,0,0,51,23,2,0
15,Bhuvneshwar Kumar,210,14,18,126,2,1,5,0
16,Axar Patel,206.5,14,13,83,13,8,7,0
17,Sandeep Sharma,195,14,13,142,1,0,2,0
18,Mitchell Starc,195,13,20,105,1,0,7,0
19,Mohit Sharma,192,16,14,121,1,2,5,0
20,Suresh Raina,192,17,2,24,31,16,11,0
21,Chris Morris,191,11,13,113,3,5,3,0
22,Moises Henriques,191,9,11,57,19,13,1,0
23,Nathan Coulter-Nile,190.5,11,15,117,2,1,5,0
24,Rohit Sharma,188.5,16,0,0,41,21,5,0
25,Mitchell McClenaghan,188,12,18,118,0,2,0,0
26,Virat Kohli,187.5,16,0,2,35,23,7,0
27,Ajinkya Rahane,185.5,14,0,0,53,13,3,0
28,David Wiese,185.5,14,16,73,12,4,5,0
29,Ravindra Jadeja,183,17,11,84,7,3,13,0
30,Shreyas Iyer,181,14,0,0,41,21,2,0
31,Yuzvendra Chahal,180.5,15,23,90,0,0,4,0
32,Ravichandran Ashwin,175,14,10,114,6,1,3,0
33,James Faulkner,173.5,13,8,88,12,5,4,0
34,Harshal Patel,172,15,17,103,0,2,1,0
35,Anureet Singh,171,14,15,105,0,1,4,0
36,Parthiv Patel,160,14,0,0,47,5,7,3
37,Robin Uthappa,159.5,13,0,0,42,7,7,5
38,Umesh Yadav,155.5,12,10,92,5,1,5,0
39,MS Dhoni,154.5,17,0,0,27,17,8,3
40,Dhawal Kulkarni,153,11,13,95,0,0,5,0
41,Angelo Mathews,149,11,7,61,12,6,5,0
42,Shikhar Dhawan,148.5,14,0,0,45,6,6,0
43,David Miller,143.5,13,0,0,21,21,7,0
44,Jagadeesha Suchith,142,13,10,70,4,2,8,0
45,Yusuf Pathan,141,13,2,12,29,12,3,0
46,Karn Sharma,138.5,14,10,65,3,6,4,0
47,Ishwar Pandey,136.5,10,11,93,0,0,2,0
48,Vinay Kumar,132.5,13,7,93,0,0,6,0
49,Faf du Plessis,130,17,0,0,37,5,8,0
50,Piyush Chawla,128,13,11,65,5,2,2,0
51,Mitchell Johnson,127.5,9,9,90,1,1,0,0
52,Pawan Negi,126.5,10,6,53,10,5,4,0
53,Imran Tahir,124,10,15,64,0,0,3,0
54,Gautam Gambhir,124,13,0,0,41,4,3,0
55,Ambati Rayudu,123.5,15,0,0,18,16,9,0
56,Morne Morkel,113.5,7,10,76,0,0,1,0
57,Yuvraj Singh,112,14,1,11,23,10,2,0
58,Amit Mishra,111.5,12,9,75,0,0,2,0
59,Steve Smith,110.5,14,0,0,33,3,7,0
60,Wriddhiman Saha,110,14,0,0,16,10,11,3
61,Murali Vijay,109.5,11,0,4,27,8,4,0
62,Trent Boult,107.5,7,9,71,0,0,2,0
63,Praveen Kumar,105.5,12,7,71,1,0,3,0
64,Stuart Binny,103.5,13,4,56,7,1,5,0
65,Sunil Narine,101,8,7,74,0,0,1,0
66,Tim Southee,99.5,7,6,66,1,0,4,0
67,Ravi Bopara,99,9,6,37,6,6,2,0
68,Hardik Pandya,98,9,1,29,9,8,6,0
69,Zaheer Khan,97.5,7,7,73,0,0,0,0
70,Dinesh Karthik,96.5,16,0,0,15,4,14,4
71,Pravin Tambe,96,10,7,69,0,0,1,0
72,Manish Pandey,92,13,0,0,22,7,5,0
73,Glenn Maxwell,91.5,11,2,19,13,8,2,0
74,Sanju Samson,90.5,14,0,0,16,8,9,0
75,Mayank Agarwal,89.5,10,0,0,23,7,3,0
76,Kedar Jadhav,84.5,14,0,0,16,7,6,2
77,Deepak Hooda,84.5,14,1,25,6,11,1,0
78,George Bailey,82,13,0,0,22,7,1,0
79,Brad Hogg,81.5,6,9,50,0,0,0,0
80,Mandeep Singh,81,14,0,0,17,6,7,0
81,Eoin Morgan,78.5,9,0,0,11,11,5,0
82,Sreenath Arvind,77.5,5,8,47,0,0,1,0
83,Suryakumar Yadav,75.5,13,0,0,12,8,7,0
84,Iqbal Abdulla,72.5,5,4,46,4,0,1,0
85,Karun Nair,70,14,0,0,18,5,3,0
86,Albie Morkel,64.5,4,3,22,9,2,1,0
87,Corey Anderson,64.5,4,1,10,11,6,1,0
88,Naman Ojha,61.5,14,0,0,12,4,6,1
89,Dale Steyn,61,6,3,38,3,0,2,0
90,Shakib Al Hasan,60.5,4,4,34,5,0,0,0
91,Varun Aaron,60.5,6,3,44,0,1,1,0
