Match_ID,Season,Date,Team1,Team2,Toss_Winner,Toss_Decision,result,DL_Method,Winner,Win_By_Runs,Win_By_Wicket,Man_Of_The_Match,Venue,Umpire1,Umpire2,Umpire3,Total_Balls
1,2013,5/19/13,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Normal,0,Pune Warriors,38,,LJ Wright,Subrata Roy Sahara Stadium,NJ Llong,SJA Taufel,,250
2,2015,4/15/15,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Normal,0,Delhi Daredevils,,5,MA Agarwal,Maharashtra Cricket Association Stadium,CB Gaffaney,K Srinath,,253
3,2011,5/14/11,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Normal,1,Royal Challengers Bangalore,,4,CH Gayle,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,,159
4,2017,5/7/17,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Normal,0,Gujarat Lions,,6,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,VK Sharma,,244
5,2010,4/17/10,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Normal,0,Mumbai Indians,57,,R McLaren,M Chinnaswamy Stadium,HDPK Dharmasena,SJA Taufel,,248
6,2016,4/26/16,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,Normal,1,Rising Pune Supergiants,34,,AB Dinda,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,CK Nandan,,196
7,2012,4/18/12,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Normal,0,Kolkata Knight Riders,,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",JD Cloete,RJ Tucker,,222
8,2013,4/25/13,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Normal,0,Chennai Super Kings,,5,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Aleem Dar,S Das,,246
9,2011,4/10/11,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Normal,0,Pune Warriors,,7,SB Wagh,Dr DY Patil Sports Academy,BR Doctrove,PR Reiffel,,207
10,2019,4/28/19,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Normal,0,Kolkata Knight Riders,34,,AD Russell,Eden Gardens,IJ Gould,Nitin Menon,,246
11,2008,4/19/08,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Delhi Daredevils,,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,,219
12,2014,5/19/14,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Normal,0,Mumbai Indians,25,,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,,250
13,2013,4/22/13,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Chennai Super Kings,,5,MEK Hussey,"MA Chidambaram Stadium, Chepauk",S Asnani,AK Chaudhary,,248
14,2011,4/17/11,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,8,L Balaji,Eden Gardens,Aleem Dar,RB Tiffin,,185
15,2010,3/19/10,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Normal,0,Chennai Super Kings,,5,ML Hayden,Feroz Shah Kotla,BR Doctrove,SK Tarapore,,248
16,2019,5/12/19,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Normal,0,Mumbai Indians,1,,JJ Bumrah,"Rajiv Gandhi International Stadium, Uppal",IJ Gould,Nitin Menon,,247
17,2008,4/26/08,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,7,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell,,229
18,2014,5/12/14,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Normal,0,Mumbai Indians,,7,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VA Kulkarni,,239
19,2015,4/18/15,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,4,AD Russell,Maharashtra Cricket Association Stadium,SD Fry,CK Nandan,,231
20,2012,5/15/12,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,bat,Normal,0,Delhi Daredevils,,5,UT Yadav,Feroz Shah Kotla,HDPK Dharmasena,BNJ Oxenford,,236
21,2013,5/22/13,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Normal,0,Rajasthan Royals,,4,BJ Hodge,Feroz Shah Kotla,S Ravi,RJ Tucker,,242
22,2010,4/5/10,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Rajasthan Royals,2,,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,,249
23,2017,4/27/17,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Normal,0,Gujarat Lions,,7,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C Shamshuddin,,212
24,2008,5/31/08,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Normal,0,Chennai Super Kings,,9,M Ntini,Wankhede Stadium,Asad Rauf,DJ Harper,,215
25,2011,5/5/11,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Normal,0,Delhi Daredevils,,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,,247
26,2016,5/1/16,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Normal,0,Kings XI Punjab,23,,AR Patel,Saurashtra Cricket Association Stadium,BNJ Oxenford,VK Sharma,,245
27,2018,4/7/18,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Normal,0,Chennai Super Kings,,1,DJ Bravo,Wankhede Stadium,CB Gaffaney,A Nand Kishore,,246
28,2011,5/2/11,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Normal,0,Kochi Tuskers Kerala,,7,P Parameswaran,Feroz Shah Kotla,Asad Rauf,SL Shastri,,226
29,2012,4/8/12,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Rajasthan Royals,22,,BJ Hodge,Sawai Mansingh Stadium,BF Bowden,VA Kulkarni,,248
30,2019,4/25/19,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,3,VR Aaron,Eden Gardens,AY Dandekar,IJ Gould,,244
31,2008,5/11/08,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen,,245
32,2012,4/29/12,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Normal,0,Delhi Daredevils,1,,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker,,247
33,2009,5/11/09,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Normal,0,Deccan Chargers,53,,DR Smith,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,,241
34,2016,5/10/16,Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Normal,0,Sunrisers Hyderabad,4,,A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,CB Gaffaney,VK Sharma,,244
35,2008,5/3/08,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Normal,0,Kings XI Punjab,9,,IK Pathan,"Punjab Cricket Association Stadium, Mohali",DJ Harper,I Shivram,,247
36,2015,4/10/15,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Normal,0,Rajasthan Royals,26,,JP Faulkner,Maharashtra Cricket Association Stadium,SD Fry,CB Gaffaney,,255
