Season,Chennai Super Kings,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,Abhinav Mukund,7.5,2,0,0,0,0,3,0
2008,Albie Morkel,261,13,17,100,18,14,3,0
2008,Anirudha Srikkanth,0,1,0,0,0,0,0,0
2008,Chamara Kapugedera,10,5,0,0,0,0,4,0
2008,Jacob Oram,56,4,3,32,1,1,3,0
2008,Joginder Sharma,87,8,8,43,1,1,4,0
2008,KB Arun Karthik,,,,,,,,
2008,Lakshmipathy Balaji,101,9,11,60,0,0,1,0
2008,Mahendra Singh Dhoni,162.5,16,0,0,38,15,6,0
2008,Makhaya Ntini,131,9,7,99,2,0,1,0
2008,Manpreet Gony,236,16,17,156,2,3,2,0
2008,Matthew Hayden,81,4,0,0,24,6,0,0
2008,Mike Hussey,73.5,4,0,0,12,11,2,0
2008,Muttiah Muralitharan,175.5,15,11,127,0,0,4,0
2008,Napoleon Einstein,,,,,,,,
2008,Palani Amarnath,58.5,6,7,29,0,0,2,0
2008,Parthiv Patel,130.5,13,0,0,42,3,6,0
2008,Ravichandran Ashwin,,,,,,,,
2008,Selvam Suresh Kumar,,,,,,,,
2008,Shadab Jakati,,,,,,,,
2008,Stephen Fleming,83,10,0,0,27,3,2,0
2008,Subramaniam Badrinath,93,16,0,0,21,8,5,0
2008,Sudeep Tyagi,,,,,,,,
2008,Suresh Raina,183,16,1,4,35,18,10,0
2008,Vidyut Sivaramakrishnan,74,9,1,5,21,3,1,0
2008,Viraj Kadbe,,,,,,,,
