Season,Deccan Chargers,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,Adam Gilchrist,211.5,14,0,0,51,19,6,1
2008,Andrew Symonds,85.5,4,0,9,15,9,3,0
2008,Arjun Yadav,19.5,8,0,0,5,2,0,0
2008,Chamara Silva,23.5,3,0,0,5,1,3,0
2008,Chaminda Vaas,62,5,5,41,0,1,0,0
2008,Doddapaneni Kalyankrishna,19.5,3,2,10,0,0,1,0
2008,Dwaraka Ravi Teja,54,7,1,3,10,5,2,0
2008,Halhadar Das,0,1,0,0,0,0,0,0
2008,Herschelle Gibbs,83,9,0,0,17,8,5,0
2008,Mohnish Mishra,,,,,,,,
2008,Nuwan Zoysa,,,,,,,,
2008,PM Sarvesh Kumar,14.5,2,1,11,0,0,0,0
2008,Paidikalva Vijaykumar,77,9,4,63,0,0,0,0
2008,Pragyan Ojha,117,13,11,71,0,0,3,0
2008,R. P. Singh,195.5,14,15,122,2,1,5,0
2008,Rohit Sharma,191,13,1,6,38,19,8,0
2008,Sanjay Bangar,87,11,4,55,1,3,2,0
2008,Scott Styris,103.5,8,3,61,9,2,1,0
2008,Shahid Afridi,137,10,9,57,7,6,4,0
2008,V.V.S. Laxman,61,6,0,0,22,1,1,0
2008,Yalaka Venugopal Rao,136.5,11,2,22,22,15,0,0
