Season,Kolkata Knight Riders,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,Aakash Chopra,17.5,5,0,0,5,0,2,0
2008,Ajantha Mendis,12.5,1,1,9,0,0,0,0
2008,Ajit Agarkar,116,9,8,66,5,2,1,0
2008,Ashok Dinda,142.5,13,8,112,0,0,1,0
2008,Brad Hodge,7.5,3,0,0,2,0,1,0
2008,Brendon McCullum,87.5,4,0,0,13,15,1,0
2008,Cheteshwar Pujara,,,,,,,,
2008,Chris Gayle,,,,,,,,
2008,David Hussey,150.5,13,2,24,19,17,5,0
2008,Debabrata Das,40,6,0,0,9,5,0,0
2008,Iqbal Abdulla,6,1,0,6,0,0,0,0
2008,Ishant Sharma,149.5,13,8,114,1,0,2,0
2008,Laxmi Ratan Shukla,104,13,6,18,17,5,2,0
2008,Mashrafe Mortaza,,,,,,,,
2008,Mohammad Hafeez,29.5,8,1,15,2,1,1,0
2008,Murali Kartik,59,6,3,31,3,0,4,0
2008,Ranadeb Bose,,,,,,,,
2008,Ricky Ponting,13.5,4,0,0,2,1,2,0
2008,Rohan Banerjee,,,,,,,,
2008,Salman Butt,87,7,0,0,30,2,2,0
2008,Saurasish Lahiri,,,,,,,,
2008,Shoaib Akhtar,40.5,3,5,23,0,0,0,0
2008,Siddarth Kaul,,,,,,,,
2008,Sourav Ganguly,214.5,13,6,46,33,15,5,0
2008,Tatenda Taibu,10,3,0,0,3,0,1,0
2008,Umar Gul,113,6,12,51,1,5,0,0
2008,Wriddhiman Saha,79.5,12,0,0,12,7,8,2
2008,Yashpal Singh,,,,,,,,
