Season,Mumbai Indians,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,Abhishek Nayar,99,14,1,14,16,9,4,0
2008,Ajinkya Rahane,2.5,2,0,0,1,0,0,0
2008,André Nel,10.5,1,1,7,0,0,0,0
2008,Ankeet Chavan,,,,,,,,
2008,Ashish Nehra,183,14,12,121,0,0,8,0
2008,Ashwell Prince,,,,,,,,
2008,Dhawal Kulkarni,120.5,10,11,77,0,0,2,0
2008,Dilhara Fernando,91,5,10,51,0,0,2,0
2008,Dominic Thornley,49,6,3,19,2,2,3,0
2008,Dwayne Bravo,179.5,9,11,66,19,5,4,0
2008,Dwayne Smith,58.5,4,5,25,5,1,0,0
2008,Gaurav Dhiman,,,,,,,,
2008,Harbhajan Singh,51.5,3,5,16,1,3,2,0
2008,Lasith Malinga,,,,,,,,
2008,Loots Bosman,,,,,,,,
2008,Luke Ronchi,26,4,0,0,6,1,3,0
2008,Manish Pandey,0,3,0,0,0,0,0,0
2008,Mohammad Ashraful,,,,,,,,
2008,Musavir Khote,20.5,4,2,5,2,1,0,0
2008,Pinal Shah,20,5,0,0,4,0,4,0
2008,Rajesh Pawar,0,1,0,0,0,0,0,0
2008,Robin Uthappa,139,14,0,0,34,9,9,0
2008,Rohan Raje,51.5,6,5,29,1,0,1,0
2008,Sachin Tendulkar,87,7,0,0,26,2,6,0
2008,Sanath Jayasuriya,308.5,14,4,36,58,31,2,0
2008,Saurabh Tiwary,13.5,3,0,0,3,1,1,0
2008,Shaun Pollock,232.5,13,11,131,12,8,2,0
2008,Siddharth Chitnis,25.5,3,2,10,1,1,1,0
2008,Swapnil Singh,,,,,,,,
2008,Vikrant Yeligati,8,2,0,8,0,0,0,0
2008,Yogesh Takawale,,,,,,,,
