Season,Rajasthan Royals,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,Abhishek Raut,,,,,,,,
2008,Aditya Angle,,,,,,,,
2008,Anup Revandkar,,,,,,,,
2008,Darren Lehmann,7.5,2,0,0,3,0,0,0
2008,Dimitri Mascarenhas,18.5,1,2,8,0,1,0,0
2008,Dinesh Salunkhe,34,6,1,13,5,0,2,0
2008,Faiz Fazal,,,,,,,,
2008,Graeme Smith,168,11,0,0,54,8,2,0
2008,Jaydev Shah,,,,,,,,
2008,Justin Langer,,,,,,,,
2008,Kamran Akmal,83,6,0,0,13,8,5,4
2008,Mahesh Rawat,33.5,11,0,0,3,1,9,0
2008,Mohammad Kaif,76,16,0,0,14,6,8,0
2008,Morne Morkel,,,,,,,,
2008,Munaf Patel,195,15,14,141,0,0,2,0
2008,Niraj Patel,41,5,0,0,13,1,2,0
2008,Pankaj Singh,20.5,5,0,18,0,0,1,0
2008,Parag More,,,,,,,,
2008,Ravindra Jadeja,72,14,0,6,11,6,7,0
2008,Shane Warne,214,15,19,108,7,2,6,0
2008,Shane Watson,406.5,15,17,158,47,19,2,0
2008,Siddharth Trivedi,164.5,15,13,104,0,0,6,0
2008,Sohail Tanvir,220,11,22,122,3,1,4,0
2008,Sumit Khatri,,,,,,,,
2008,Swapnil Asnodkar,143.5,9,0,0,43,6,6,0
2008,Taruwar Kohli,6,2,0,0,0,1,1,0
2008,Younis Khan,2.5,1,0,0,0,0,1,0
2008,Yusuf Pathan,290.5,16,8,60,43,25,3,0
