Season,Delhi Daredevils,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2009,AB de Villiers,,,,,,,,
2009,Aavishkar Salvi,,,,,,,,
2009,Amit Mishra,166.0,11.0,14.0,100.0,2.0,2.0,2.0,0.0
2009,Andrew McDonald,,,,,,,,
2009,Ashish Nehra,,,,,,,,
2009,Daniel Vettori,,,,,,,,
2009,David Warner,,,,,,,,
2009,Dinesh Karthik,,,,,,,,
2009,Dirk Nannes,,,,,,,,
2009,Farveez Maharoof,,,,,,,,
2009,Gautam Gambhir,,,,,,,,
2009,Glenn McGrath,,,,,,,,
2009,Manoj Tiwary,,,,,,,,
2009,Mithun Manhas,,,,,,,,
2009,Owais Shah,,,,,,,,
2009,Paul Collingwood,,,,,,,,
2009,Pradeep Sangwan,,,,,,,,
2009,Rajat Bhatia,,,,,,,,
2009,Sumit Narwal,,,,,,,,
2009,Tejashwi Yadav,,,,,,,,
2009,Tillakaratne Dilshan,,,,,,,,
2009,Umesh Yadav,,,,,,,,
2009,Virender Sehwag,,,,,,,,
2009,Wayne Parnell,,,,,,,,
2009,Yo Mahesh,,,,,,,,
2009,Yogesh Nagar,,,,,,,,
