Season,Kings XI Punjab,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2009,Ajitesh Argal,,,,,,,,
2009,Amanpreet Singh,,,,,,,,
2009,Azhar Mehmood,,,,,,,,
2009,Brett Lee,97.5,5,5,69,2,1,1,0
2009,Burt Cockley,,,,,,,,
2009,Irfan Pathan,254,14,17,121,17,6,4,0
2009,James Hopes,,,,,,,,
2009,Jerome Taylor,,,,,,,,
2009,Karan Goel,,,,,,,,
2009,Kumar Sangakkara,110,14,0,0,29,5,6,2
2009,Luke Pomersbach,13.5,4,0,0,3,1,1,0
2009,Mahela Jayawardene,87,10,0,0,17,7,8,0
2009,Piyush Chawla,175.5,14,12,111,3,0,6,0
2009,Ramesh Powar,79,9,5,49,2,0,3,0
2009,Ranadeb Bose,5,1,0,5,0,0,0,0
2009,Ravi Bopara,50,5,0,3,8,7,1,0
2009,Ravikant Shukla,,,,,,,,
2009,Rusty Theron,,,,,,,,
2009,Ryan Ninan,,,,,,,,
2009,Sahil Kukreja,,,,,,,,
2009,Shaun Marsh,,,,,,,,
2009,Simon Katich,63.5,9,0,0,15,6,2,0
2009,Sreesanth,85.5,7,6,62,1,0,0,0
2009,Sunny Sohal,55.5,8,0,0,9,8,2,0
2009,Tanmay Srivastava,0,2,0,0,0,0,0,0
2009,Uday Kaul,,,,,,,,
2009,V. R. V. Singh,19.5,5,1,16,0,0,0,0
2009,Vikramjeet Malik,40,5,2,28,0,0,2,0
2009,Wilkin Mota,39,8,3,21,0,0,3,0
2009,Yusuf Abdulla,124,9,14,75,0,0,0,0
2009,Yuvraj Singh,205,14,6,48,25,16,7,0
