Season,Royal Challengers Bangalore,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2009,Abhimanyu Mithun,7,1,0,7,0,0,0,0
2009,Anil Kumble,224,16,21,138,2,0,3,0
2009,Balachandra Akhil,39,6,4,19,1,1,0,0
2009,Bharat Chipli,,,,,,,,
2009,Bhuvneshwar Kumar,,,,,,,,
2009,CM Gautam,,,,,,,,
2009,Cameron White,,,,,,,,
2009,Dale Steyn,39,3,2,27,0,0,2,0
2009,Devraj Patil,,,,,,,,
2009,Dillon du Preez,,,,,,,,
2009,Eoin Morgan,,,,,,,,
2009,Gaurav Dhiman,,,,,,,,
2009,Ishank Jaggi,,,,,,,,
2009,Jacques Kallis,265,15,6,111,37,8,5,0
2009,Jagadeesh Arunkumar,,,,,,,,
2009,Jesse Ryder,78,5,3,40,9,0,2,0
2009,Jitendra Patil,,,,,,,,
2009,KP Appanna,25,5,2,18,0,0,0,0
2009,Karn Sharma,,,,,,,,
2009,Kedar Jadhav,,,,,,,,
2009,Kevin Pietersen,74.5,6,4,26,8,2,3,0
2009,Manish Pandey,66.5,5,0,0,17,4,4,0
2009,Mark Boucher,58.5,12,0,0,8,6,7,0
2009,Nathan Bracken,,,,,,,,
2009,Pankaj Singh,21.5,3,2,12,0,0,1,0
2009,Praveen Kumar,192.5,13,13,121,1,6,1,0
2009,RK Sabharwal,,,,,,,,
2009,Rahul Dravid,85.5,13,0,0,28,3,2,0
2009,Rajesh Bishnoi,12,3,0,0,1,2,1,0
2009,Raju Bhatkal,,,,,,,,
2009,Rangaraj Suthesh,,,,,,,,
2009,Robin Uthappa,75.5,15,0,0,18,3,7,1
2009,Roelof van der Merwe,142.5,10,9,53,8,8,4,0
2009,Ross Taylor,110,11,0,0,20,15,3,0
2009,Saurabh Bandekar,,,,,,,,
2009,Shreevats Goswami,17.5,2,0,0,6,0,1,0
2009,Sreenath Aravind,,,,,,,,
2009,Sunil Joshi,,,,,,,,
2009,Tinu Yohannan,,,,,,,,
2009,Udit Patel,,,,,,,,
2009,Vinay Kumar,117.5,11,9,65,4,1,3,0
2009,Virat Kohli,115.5,16,0,10,22,8,9,0
2009,Wasim Jaffer,7.5,2,0,0,2,0,1,0
