Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Deccan Chargers,Chennai Super Kings
Abdur Razzak,Aakash Chopra,Abhishek Nayar,Abhishek Raut,Ajitesh Argal,AB de Villiers,Adam Gilchrist,Abhinav Mukund
Anil Kumble,Ajantha Mendis,Ajinkya Rahane,Aditya Angle,Azhar Mehmood,Amit Mishra,Andrew Symonds,Albie Morkel
Ashley Noffke,Ajit Agarkar,André Nel,Anup Revandkar,Brett Lee,Brett Geeves,Arjun Yadav,Anirudha Srikkanth
Balachandra Akhil,Ashok Dinda,Ankeet Chavan,Darren Lehmann,Fidel Edwards,Daniel Vettori,Chamara Silva,Chamara Kapugedera
Bharat Chipli,Brad Hodge,Ashwell Prince,Dimitri Mascarenhas,Gagandeep Singh,Dinesh Karthik,Chaminda Vaas,Jacob Oram
Cameron White,Brendon McCullum,Ashish Nehra,Dinesh Salunkhe,Irfan Pathan,Farveez Maharoof,Doddapaneni Kalyankrishna,Joginder Sharma
Dale Steyn,Cheteshwar Pujara,Dhawal Kulkarni,Faiz Fazal,James Hopes,Gautam Gambhir,Dwaraka Ravi Teja,KB Arun Karthik
Devraj Patil,Chris Gayle,Dilhara Fernando,Graeme Smith,Karan Goel,Glenn McGrath,Halhadar Das,Lakshmipathy Balaji
Jacques Kallis,David Hussey,Dominic Thornley,Jaydev Shah,Kumar Sangakkara,Manoj Tiwary,Herschelle Gibbs,Mahendra Singh Dhoni
Jagadeesh Arunkumar,Debabrata Das,Dwayne Bravo,Justin Langer,Kyle Mills,Mayank Tehlan,Mohnish Mishra,Makhaya Ntini
KP Appanna,Iqbal Abdulla,Dwayne Smith,Kamran Akmal,Luke Pomersbach,Mithun Manhas,Nuwan Zoysa,Manpreet Gony
Mark Boucher,Ishant Sharma,Gaurav Dhiman,Mahesh Rawat,Mahela Jayawardene,Mohammad Asif,Paidikalva Vijaykumar,Matthew Hayden
Misbah-ul-Haq,Laxmi Ratan Shukla,Harbhajan Singh,Mohammad Kaif,Nitin Saini,Pradeep Sangwan,PM Sarvesh Kumar,Mike Hussey
Nathan Bracken,Mashrafe Mortaza,Lasith Malinga,Morne Morkel,Pankaj Dharmani,Rajat Bhatia,Pragyan Ojha,Muttiah Muralitharan
Neravanda Aiyappa,Mohammad Hafeez,Loots Bosman,Munaf Patel,Piyush Chawla,Shikhar Dhawan,R. P. Singh,Napoleon Einstein
Praveen Kumar,Murali Kartik,Luke Ronchi,Niraj Patel,Ramesh Powar,Shoaib Malik,Rohit Sharma,Palani Amarnath
Rahul Dravid,Ranadeb Bose,Manish Pandey,Pankaj Singh,Ramnaresh Sarwan,Sumit Narwal,Sanjay Bangar,Parthiv Patel
Ross Taylor,Ricky Ponting,Mohammad Ashraful,Parag More,Rishi Dhawan,Tejashwi Yadav,Shahid Afridi,Ravichandran Ashwin
Shivnarine Chanderpaul,Rohan Banerjee,Musavir Khote,Ravindra Jadeja,Sahil Kukreja,Tillakaratne Dilshan,Scott Styris,Selvam Suresh Kumar
Shreevats Goswami,Salman Butt,Pinal Shah,Shane Warne,Shaun Marsh,Virender Sehwag,V.V.S. Laxman,Shadab Jakati
Sunil Joshi,Saurasish Lahiri,Rajesh Pawar,Shane Watson,Simon Katich,Yogesh Nagar,Yalaka Venugopal Rao,Stephen Fleming
Vinay Kumar,Shoaib Akhtar,Robin Uthappa,Siddharth Trivedi,Sreesanth,Yo Mahesh,,Subramaniam Badrinath
Virat Kohli,Siddarth Kaul,Rohan Raje,Sohail Tanvir,Sunny Sohal,,,Sudeep Tyagi
Wasim Jaffer,Sourav Ganguly,Sachin Tendulkar,Sumit Khatri,Tanmay Srivastava,,,Suresh Raina
Zaheer Khan,Tatenda Taibu,Sanath Jayasuriya,Swapnil Asnodkar,Uday Kaul,,,Vidyut Sivaramakrishnan
,Umar Gul,Saurabh Tiwary,Taruwar Kohli,V. R. V. Singh,,,Viraj Kadbe
,Wriddhiman Saha,Shaun Pollock,Younis Khan,Wilkin Mota,,,
,Yashpal Singh,Siddharth Chitnis,Yusuf Pathan,Yuvraj Singh,,,
,,Swapnil Singh,,,,,
,,Vikrant Yeligati,,,,,
,,Yogesh Takawale,,,,,
