Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Chennai Super Kings,Pune Warriors India,Sunrisers Hyderabad
Abhinav Mukund,Lakshmipathy Balaji,Jacob Oram,Brad Hodge,Manpreet Gony,Yalaka Venugopal Rao,Albie Morkel,Mohnish Mishra,Parthiv Patel
KB Arun Karthik,Gautam Gambhir,Pragyan Ojha,Fidel Edwards,Adam Gilchrist,Virender Sehwag,Anirudha Srikkanth,Mithun Manhas,Sudeep Tyagi
Muttiah Muralitharan,Manoj Tiwary,Rohit Sharma,Sreesanth,David Hussey,Yogesh Nagar,Mahendra Singh Dhoni,Ajantha Mendis,Dwaraka Ravi Teja
R. P. Singh,Pradeep Sangwan,Dinesh Karthik,Ajinkya Rahane,Azhar Mehmood,Ajit Agarkar,Mike Hussey,Ashok Dinda,Amit Mishra
AB de Villiers,Rajat Bhatia,Ricky Ponting,Ankeet Chavan,Luke Pomersbach,Siddarth Kaul,Ravichandran Ashwin,Yuvraj Singh,Shikhar Dhawan
Daniel Vettori,Sumit Narwal,Rishi Dhawan,Rahul Dravid,Nitin Saini,Irfan Pathan,Shadab Jakati,Abhishek Nayar,Ishant Sharma
Tillakaratne Dilshan,Brendon McCullum,Dhawal Kulkarni,Shreevats Goswami,Piyush Chawla,Mahela Jayawardene,Subramaniam Badrinath,Manish Pandey,Kumar Sangakkara
Cheteshwar Pujara,Debabrata Das,Dwayne Smith,Abhishek Raut,Ramesh Powar,Ashish Nehra,Suresh Raina,Robin Uthappa,Cameron White
Chris Gayle,Iqbal Abdulla,Harbhajan Singh,Shane Watson,Shaun Marsh,Bharat Chipli,Wriddhiman Saha,Ross Taylor,Dale Steyn
Murali Kartik,Laxmi Ratan Shukla,Lasith Malinga,Siddharth Trivedi,Siddharth Chitnis,Morne Morkel,Dwayne Bravo,Mahesh Rawat,Sachin Rana
Sunny Sohal,Mashrafe Mortaza,Sachin Tendulkar,Harmeet Singh,Praveen Kumar,Aavishkar Salvi,Ravindra Jadeja,Mitchell Marsh,JP Duminy
Saurabh Tiwary,Brett Lee,Munaf Patel,Owais Shah,Dimitri Mascarenhas,David Warner,Murali Vijay,Rahul Sharma,Karn Sharma
KP Appanna,Jacques Kallis,Abu Nechim Ahmed,Vikramjeet Malik,Ryan Harris,Umesh Yadav,Dirk Nannes,Tirumalasetti Suman,Thisara Perera
Vinay Kumar,Yusuf Pathan,Aditya Tare,Aditya Dole,Paul Valthaty,CM Gautam,Ben Hilfenhaus,Wayne Parnell,Ashish Reddy
Virat Kohli,Manvinder Bisla,Ambati Rayudu,Amit Singh,Mandeep Singh,Jesse Ryder,Francois du Plessis,Angelo Mathews,Anand Rajan
Zaheer Khan,Ryan McLaren,Kieron Pollard,Shaun Tait,Bipul Sharma,Kedar Jadhav,Nuwan Kulasekara,Bhuvneshwar Kumar,Ankit Sharma
Pankaj Singh,Eoin Morgan,Sushant Marathe,Rahul Shukla,Rajagopal Sathish,Kevin Pietersen,Imtiaz Ahmed,Raiphi Gomez,Chris Lynn
Andrew McDonald,Sarabjit Ladda,Aiden Blizzard,Stuart Binny,Bhargav Bhatt,Roelof van der Merwe,Akila Dananjaya,Ali Murtaza,Padmanabhan Prasanth
Moises Henriques,Brad Haddin,James Franklin,Ajit Chandila,David Miller,Johan Botha,Ankit Rajpoot,Steve Smith,Clint McKay
Abhimanyu Mithun,James Pattinson,Pawan Suyal,James Faulkner,Manan Vohra,Naman Ojha,Baba Aparajith,Aaron Finch,Nathan McCullum
Sreenath Aravind,Mohammed Shami,Suryakumar Yadav,Ashok Menaria,Sunny Singh,Varun Aaron,Ben Laughlin,Shrikant Wagh,Akshath Reddy
Jaydev Unadkat,Ryan ten Doeschate,Yuzvendra Chahal,Deepak Chahar,Gurkeerat Singh,Robin BistX,Chris Morris,Dheeraj Jadhav,Biplab Samantray
Daniel Christian,Shakib Al Hasan,Glenn Maxwell,Dishant Yagnik,Parvinder Awana,Shahbaz Nadeem,Jason Holder,Eklavya Dwivedi,Veer Pratap Singh
Prasanth Parameswaran,Marchant de Lange,Amitoze Singh,Samad Fallah,Aniket Choudhary,Unmukt Chand,Mohit Sharma,Harpreet Singh,Darren Sammy
Mayank Agarwal,Sunil Narine,Mitchell Johnson,Sanju Samson,Michael Neser,Andre Russell,R. Karthikeyan,Anustup Majumdar,Hanuma Vihari
Rilee Rossouw,Sachithra Senanayake,Axar Patel,Brad Hogg,Sandeep Sharma,Gulam Bodi,Ronit More,Krishnakant Upadhyay,Quinton de Kock
Syed Mohammed,,Jalaj Saxena,Kevon Cooper,,Manpreet Juneja,Vijay Shankar,Luke Wright,Thalaivan Sargunam
Harshal Patel,,Jasprit Bumrah,Samuel Badree,,Pawan Negi,,Marlon Samuels,
Karun Nair,,Javed Khan,Kumar Boresa,,Puneet Bisht,,Michael Clarke,
Vijay Zol,,Nathan Coulter-Nile,Kusal Perera,,Sunny Gupta,,Tamim Iqbal,
Chris Barnwell,,Phillip Hughes,Pravin Tambe,,Sujit Nayak,,Ishwar Pandey,
KL Rahul,,,Sachin Baby,,Arisht Singhvi,,Kane Richardson,
Ravi Rampaul,,,,,Ben Rohrer,,Parvez Rasool,
Sandeep Warrier,,,,,Jeevan Mendis,,Udit Birla,
Sheldon Jackson,,,,,Royston Dias,,,
