Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Chennai Super Kings,Sunrisers Hyderabad
Albie Morkel,Gautam Gambhir,Mike Hussey,Rajat Bhatia,Lakshmipathy Balaji,Dinesh Karthik,Mahendra Singh Dhoni,Anirudha Srikkanth
Muttiah Muralitharan,Debabrata Das,Pragyan Ojha,Brad Hodge,Virender Sehwag,Manoj Tiwary,Ravichandran Ashwin,Yalaka Venugopal Rao
Parthiv Patel,Piyush Chawla,Rohit Sharma,Iqbal Abdulla,Cheteshwar Pujara,Laxmi Ratan Shukla,Suresh Raina,Amit Mishra
Shadab Jakati,Manish Pandey,Harbhajan Singh,Abhishek Nayar,Mashrafe Mortaza,Siddarth Kaul,Mithun Manhas,Shikhar Dhawan
AB de Villiers,Robin Uthappa,Lasith Malinga,Ajinkya Rahane,Murali Kartik,Saurabh Tiwary,Brendon McCullum,Ishant Sharma
Ashok Dinda,Jacques Kallis,Praveen Kumar,Dhawal Kulkarni,Wriddhiman Saha,Ross Taylor,David Hussey,Irfan Pathan
Chris Gayle,Vinay Kumar,Zaheer Khan,Shane Watson,Rishi Dhawan,Murali Vijay,Ashish Nehra,Dale Steyn
Yuvraj Singh,Morne Morkel,CM Gautam,Vikramjeet Malik,Shaun Marsh,Rahul Sharma,Dwayne Bravo,David Warner
Yogesh Takawale,Yusuf Pathan,Aditya Tare,Stuart Binny,George Bailey,Wayne Parnell,Dwayne Smith,Moises Henriques
Virat Kohli,Manvinder Bisla,Ambati Rayudu,Steve Smith,Harmeet Singh,JP Duminy,Ravindra Jadeja,Bhuvneshwar Kumar
Sachin Rana,Umesh Yadav,Kieron Pollard,Tim Southee,Anureet Singh,Kedar Jadhav,Ben Hilfenhaus,Karn Sharma
Abu Nechim Ahmed,Johan Botha,Sushant Marathe,Ankit Sharma,Thisara Perera,Kevin Pietersen,Francois du Plessis,Naman Ojha
Varun Aaron,Chris Lynn,Pawan Suyal,Unmukt Chand,Mandeep Singh,Jaydev Unadkat,John Hastings,Ashish Reddy
Yuzvendra Chahal,Ryan ten Doeschate,Marchant de Lange,James Faulkner,David Miller,Rahul Shukla,Pawan Negi,Aaron Finch
Rilee Rossouw,Shakib Al Hasan,Apoorv Wankhade,Dishant Yagnik,Manan Vohra,Shahbaz Nadeem,Samuel Badree,Amit Paunikar
Tanmay Mishra,Suryakumar Yadav,Jalaj Saxena,Sanju Samson,Glenn Maxwell,Mohammed Shami,Baba Aparajith,Prasanth Parameswaran
Harshal Patel,Veer Pratap Singh,Jasprit Bumrah,Ben Cutting,Gurkeerat Singh,Mayank Agarwal,Mohit Sharma,Manpreet Juneja
Vijay Zol,Andre Russell,Ben Dunk,Karun Nair,Parvinder Awana,Nathan Coulter-Nile,Ronit More,Jason Holder
Ravi Rampaul,Sunil Narine,Corey Anderson,Kevon Cooper,Mitchell Johnson,Quinton de Kock,Vijay Shankar,Parvez Rasool
Sandeep Warrier,Kuldeep Yadav,Josh Hazlewood,Kane Richardson,Sandeep Sharma,HS Sharath,Ishwar Pandey,KL Rahul
Mitchell Starc,Pat Cummins,Krishmar Santokie,Pravin Tambe,Axar Patel,Imran Tahir,Matt Henry,Darren Sammy
Nic Maddinson,Sayan Mondal,Lendl Simmons,Amit Mishra,Beuran Hendricks,Jimmy Neesham,,Brendan Taylor
,,Shreyas Gopal,Ankush Bains,Karanveer Singh,Jayant Yadav,,Chama Milind
,,,Deepak Hooda,Shardul Thakur,Milind Kumar,,Ricky Bhui
,,,Rahul Tewatia,Shivam Sharma,,,
