Season,Chennai Super Kings
2008,Abhinav Mukund
2008,Albie Morkel
2008,Anirudha Srikkanth
2008,Chamara Kapugedera
2008,Jacob Oram
2008,Joginder Sharma
2008,KB Arun Karthik
2008,Lakshmipathy Balaji
2008,Mahendra Singh Dhoni
2008,Makhaya Ntini
2008,Manpreet Gony
2008,Matthew Hayden
2008,Mike Hussey
2008,Muttiah Muralitharan
2008,Napoleon Einstein
2008,Palani Amarnath
2008,Parthiv Patel
2008,Ravichandran Ashwin
2008,Selvam Suresh Kumar
2008,Shadab Jakati
2008,Stephen Fleming
2008,Subramaniam Badrinath
2008,Sudeep Tyagi
2008,Suresh Raina
2008,Vidyut Sivaramakrishnan
2008,Viraj Kadbe
