Season,Kochi Tuskers Kerala
2011,Muttiah Muralitharan
2011,Parthiv Patel
2011,R. P. Singh
2011,V.V.S. Laxman
2011,Brad Hodge
2011,Brendon McCullum
2011,Yashpal Singh
2011,Mahela Jayawardene
2011,Ramesh Powar
2011,Sreesanth
2011,Tanmay Srivastava
2011,Balachandra Akhil
2011,Vinay Kumar
2011,Ravindra Jadeja
2011,Owais Shah
2011,Kedar Jadhav
2011,Raiphi Gomez
2011,Thisara Perera
2011,Chandan Madan
2011,Steve Smith
2011,Deepak Chougule
2011,Gnaneswara Rao
2011,John Hastings
2011,Michael Klinger
2011,Padmanabhan Prasanth
2011,Prasanth Parameswaran
2011,Steve O'Keefe
2011,Sushant Marathe
