Season,Deccan Chargers
2012,Manpreet Gony
2012,Parthiv Patel
2012,Arjun Yadav
2012,Dwaraka Ravi Teja
2012,Amit Mishra
2012,Shikhar Dhawan
2012,Ishant Sharma
2012,Kumar Sangakkara
2012,Sunny Sohal
2012,Tanmay Srivastava
2012,Bharat Chipli
2012,Cameron White
2012,Dale Steyn
2012,Rusty Theron
2012,JP Duminy
2012,Ishank Jaggi
2012,Ashish Reddy
2012,Abhishek Jhunjhunwala
2012,Michael Lumb
2012,Syed Quadri
2012,Akash Bhandari
2012,Anand Rajan
2012,Ankit Sharma
2012,Chris Lynn
2012,Daniel Christian
2012,Kedar Devdhar
2012,Akshath Reddy
2012,Biplab Samantray
2012,Daniel Harris
2012,Darren Bravo
2012,Sneha Kishore
2012,Tanmay Mishra
2012,Tekkami Atchuta Rao
2012,TP Sudhindra
2012,Veer Pratap Singh
