Season,Kings XI Punjab
2012,Adam Gilchrist
2012,David Hussey
2012,Azhar Mehmood
2012,Nitin Saini
2012,Piyush Chawla
2012,Ramesh Powar
2012,Shaun Marsh
2012,Abhishek Nayar
2012,Siddharth Chitnis
2012,Praveen Kumar
2012,Dimitri Mascarenhas
2012,Harmeet Singh
2012,Ryan Harris
2012,Vikramjeet Malik
2012,Paras Dogra
2012,Paul Valthaty
2012,Mandeep Singh
2012,Bipul Sharma
2012,Love Ablish
2012,Shalabh Srivastava
2012,Rajagopal Sathish
2012,Amit Yadav
2012,Bhargav Bhatt
2012,David Miller
2012,Manan Vohra
2012,Nathan Rimmington
2012,Stuart Broad
2012,Sunny Singh
2012,James Faulkner
2012,Ben Cutting
2012,Gurkeerat Singh
2012,Kyle Abbott
2012,Parvinder Awana
