Season,Kolkata Knight Riders
2012,Lakshmipathy Balaji
2012,Gautam Gambhir
2012,Manoj Tiwary
2012,Pradeep Sangwan
2012,Rajat Bhatia
2012,Brendon McCullum
2012,Debabrata Das
2012,Iqbal Abdulla
2012,Laxmi Ratan Shukla
2012,Brett Lee
2012,Jacques Kallis
2012,Yusuf Pathan
2012,Manvinder Bisla
2012,Eoin Morgan
2012,Sarabjit Ladda
2012,Jaydev Unadkat
2012,Brad Haddin
2012,James Pattinson
2012,Mohammed Shami
2012,Ryan ten Doeschate
2012,Shakib Al Hasan
2012,Chirag Jani
2012,Iresh Saxena
2012,Marchant de Lange
2012,Sanju Samson
2012,Sunil Narine
