Season,Pune Warriors India
2012,Mohnish Mishra
2012,Mithun Manhas
2012,Ashok Dinda
2012,Mashrafe Mortaza
2012,Murali Kartik
2012,Sourav Ganguly
2012,Fidel Edwards
2012,James Hopes
2012,Yuvraj Singh
2012,Ashish Nehra
2012,Manish Pandey
2012,Robin Uthappa
2012,Graeme Smith
2012,Mitchell Marsh
2012,Rahul Sharma
2012,Wayne Parnell
2012,Angelo Mathews
2012,Sachin Rana
2012,Bhuvneshwar Kumar
2012,Jesse Ryder
2012,Kamran Khan
2012,Raiphi Gomez
2012,Harshad Khadiwale
2012,Ali Murtaza
2012,Steve Smith
2012,Shrikant Wagh
2012,Alfonso Thomas
2012,Callum Ferguson
2012,Dheeraj Jadhav
2012,Eklavya Dwivedi
2012,Harpreet Singh
2012,Nathan McCullum
2012,Anustup Majumdar
2012,Krishnakant Upadhyay
2012,Luke Wright
2012,Marlon Samuels
2012,Michael Clarke
2012,Tamim Iqbal
