Season,Gujarat Lions
2017,Manpreet Gony
2017,Shadab Jakati
2017,Suresh Raina
2017,Dinesh Karthik
2017,Pradeep Sangwan
2017,Brendon McCullum
2017,Irfan Pathan
2017,Dhawal Kulkarni
2017,Dwayne Bravo
2017,Dwayne Smith
2017,Praveen Kumar
2017,Jaydev Shah
2017,Munaf Patel
2017,Ravindra Jadeja
2017,Aaron Finch
2017,James Faulkner
2017,Andrew Tye
2017,Akshdeep Nath
2017,Shivil Kaushik
2017,Nathu Singh
2017,Ankit Soni
2017,Basil Thampi
2017,Chirag Suri
2017,Jason Roy
2017,Pratham Singh
2017,Rinku Singh
2017,Shelley Shaurya
2017,Shubham Agarwal
2017,Tejas Baroka
