Season,Rising Pune Supergiant
2017,Mahendra Singh Dhoni
2017,Ravichandran Ashwin
2017,Manoj Tiwary
2017,Rajat Bhatia
2017,Ashok Dinda
2017,Ajinkya Rahane
2017,Jaskaran Singh
2017,Mitchell Marsh
2017,Jaydev Unadkat
2017,Steve Smith
2017,Francois du Plessis
2017,Ankit Sharma
2017,Daniel Christian
2017,Mayank Agarwal
2017,Deepak Chahar
2017,Baba Aparajith
2017,Ishwar Pandey
2017,Imran Tahir
2017,Shardul Thakur
2017,Ankush Bains
2017,Adam Zampa
2017,Usman Khawaja
2017,Ben Stokes
2017,Lockie Ferguson
2017,Milind Tandon
2017,Rahul Chahar
2017,Rahul Tripathi
2017,Saurabh Kumar
2017,Washington Sundar
