Season,Sunrisers Hyderabad
2018,Shikhar Dhawan
2018,Siddarth Kaul
2018,Wriddhiman Saha
2018,Manish Pandey
2018,Shreevats Goswami
2018,Yusuf Pathan
2018,David Warner
2018,Moises Henriques
2018,Bhuvneshwar Kumar
2018,Bipul Sharma
2018,Shakib Al Hasan
2018,Sandeep Sharma
2018,Sachin Baby
2018,Deepak Hooda
2018,Ricky Bhui
2018,Alex Hales
2018,Kane Williamson
2018,Carlos Brathwaite
2018,Khaleel Ahmed
2018,Chris Jordan
2018,Basil Thampi
2018,T Natarajan
2018,Billy Stanlake
2018,Mohammad Nabi
2018,Rashid Khan
2018,Mehdi Hasan
