Season,Mumbai Indians
2019,Rohit Sharma
2019,Yuvraj Singh
2019,Lasith Malinga
2019,Aditya Tare
2019,Kieron Pollard
2019,Suryakumar Yadav
2019,Ben Cutting
2019,Jasprit Bumrah
2019,Quinton de Kock
2019,Jayant Yadav
2019,Beuran Hendricks
2019,Hardik Pandya
2019,Mitchell McClenaghan
2019,Siddhesh Lad
2019,Adam Milne
2019,Barinder Sran
2019,Ishan Kishan
2019,Krunal Pandya
2019,Rahul Chahar
2019,Anukul Roy
2019,Evin Lewis
2019,Jason Behrendorff
2019,Mayank Markande
2019,Alzarri Joseph
2019,Anmolpreet Singh
2019,Pankaj Jaiswal
2019,Rasikh Salam Dar
