Season,Deccan Chargers,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,Adam Gilchrist,211.5,14.0,0.0,0.0,51.0,19.0,6.0,1.0
2008,Andrew Symonds,85.5,4.0,0.0,9.0,15.0,9.0,3.0,0.0
2008,Arjun Yadav,19.5,8.0,0.0,0.0,5.0,2.0,0.0,0.0
2008,Chamara Silva,23.5,3.0,0.0,0.0,5.0,1.0,3.0,0.0
2008,Chaminda Vaas,62.0,5.0,5.0,41.0,0.0,1.0,0.0,0.0
2008,Doddapaneni Kalyankrishna,19.5,3.0,2.0,10.0,0.0,0.0,1.0,0.0
2008,Dwaraka Ravi Teja,54.0,7.0,1.0,3.0,10.0,5.0,2.0,0.0
2008,Halhadar Das,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,Herschelle Gibbs,83.0,9.0,0.0,0.0,17.0,8.0,5.0,0.0
2008,Mohnish Mishra,,,,,,,,
2008,Nuwan Zoysa,36.0,3.0,2.0,24.0,1.0,0.0,1.0,0.0
2008,PM Sarvesh Kumar,14.5,2.0,1.0,11.0,0.0,0.0,0.0,0.0
2008,Paidikalva Vijaykumar,77.0,9.0,4.0,63.0,0.0,0.0,0.0,0.0
2008,Pragyan Ojha,117.0,13.0,11.0,71.0,0.0,0.0,3.0,0.0
2008,R. P. Singh,195.5,14.0,15.0,122.0,2.0,1.0,5.0,0.0
2008,Rohit Sharma,191.0,13.0,1.0,6.0,38.0,19.0,8.0,0.0
2008,Sanjay Bangar,87.0,11.0,4.0,55.0,1.0,3.0,2.0,0.0
2008,Scott Styris,103.5,8.0,3.0,61.0,9.0,2.0,1.0,0.0
2008,Shahid Afridi,137.0,10.0,9.0,57.0,7.0,6.0,4.0,0.0
2008,V.V.S. Laxman,61.0,6.0,0.0,0.0,22.0,1.0,1.0,0.0
2008,Yalaka Venugopal Rao,136.5,11.0,2.0,22.0,22.0,15.0,0.0,0.0
