Season,Rajasthan Royals,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,Abhishek Raut,,,,,,,,
2008,Aditya Angle,,,,,,,,
2008,Anup Revandkar,,,,,,,,
2008,Darren Lehmann,7.5,2.0,0.0,0.0,3.0,0.0,0.0,0.0
2008,Dimitri Mascarenhas,18.5,1.0,2.0,8.0,0.0,1.0,0.0,0.0
2008,Dinesh Salunkhe,34.0,6.0,1.0,13.0,5.0,0.0,2.0,0.0
2008,Faiz Fazal,,,,,,,,
2008,Graeme Smith,168.0,11.0,0.0,0.0,54.0,8.0,2.0,0.0
2008,Jaydev Shah,,,,,,,,
2008,Justin Langer,,,,,,,,
2008,Kamran Akmal,83.0,6.0,0.0,0.0,13.0,8.0,5.0,4.0
2008,Mahesh Rawat,33.5,11.0,0.0,0.0,3.0,1.0,9.0,0.0
2008,Mohammad Kaif,76.0,16.0,0.0,0.0,14.0,6.0,8.0,0.0
2008,Morne Morkel,,,,,,,,
2008,Munaf Patel,195.0,15.0,14.0,141.0,0.0,0.0,2.0,0.0
2008,Niraj Patel,41.0,5.0,0.0,0.0,13.0,1.0,2.0,0.0
2008,Pankaj Singh,20.5,5.0,0.0,18.0,0.0,0.0,1.0,0.0
2008,Parag More,,,,,,,,
2008,Ravindra Jadeja,72.0,14.0,0.0,6.0,11.0,6.0,7.0,0.0
2008,Shane Warne,214.0,15.0,19.0,108.0,7.0,2.0,6.0,0.0
2008,Shane Watson,406.5,15.0,17.0,158.0,47.0,19.0,2.0,0.0
2008,Siddharth Trivedi,164.5,15.0,13.0,104.0,0.0,0.0,6.0,0.0
2008,Sohail Tanvir,220.0,11.0,22.0,122.0,3.0,1.0,4.0,0.0
2008,Sumit Khatri,,,,,,,,
2008,Swapnil Asnodkar,143.5,9.0,0.0,0.0,43.0,6.0,6.0,0.0
2008,Taruwar Kohli,6.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
2008,Younis Khan,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2008,Yusuf Pathan,290.5,16.0,8.0,60.0,43.0,25.0,3.0,0.0
