Season,Kolkata Knight Riders,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2009,Aakash Chopra,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2009,Ajantha Mendis,41.5,4.0,3.0,26.0,0.0,0.0,2.0,0.0
2009,Ajit Agarkar,104.0,11.0,6.0,65.0,3.0,3.0,0.0,0.0
2009,Angelo Mathews,9.5,1.0,0.0,2.0,2.0,0.0,1.0,0.0
2009,Anureet Singh,23.0,3.0,2.0,16.0,0.0,0.0,0.0,0.0
2009,Arindam Ghosh,5.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
2009,Ashok Dinda,83.5,9.0,4.0,67.0,0.0,0.0,1.0,0.0
2009,Brad Hodge,180.0,12.0,7.0,34.0,34.0,9.0,2.0,0.0
2009,Brendon McCullum,124.5,13.0,0.0,0.0,27.0,12.0,6.0,0.0
2009,Charl Langeveldt,26.5,1.0,3.0,16.0,0.0,0.0,0.0,0.0
2009,Cheteshwar Pujara,,,,,,,,
2009,Chris Gayle,120.5,7.0,1.0,32.0,15.0,10.0,5.0,0.0
2009,David Hussey,48.0,4.0,0.0,7.0,7.0,6.0,1.0,0.0
2009,Iqbal Abdulla,,,,,,,,
2009,Ishant Sharma,179.5,11.0,11.0,130.0,1.0,1.0,2.0,0.0
2009,Laxmi Ratan Shukla,74.0,9.0,3.0,38.0,5.0,3.0,1.0,0.0
2009,Mashrafe Mortaza,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
2009,Moises Henriques,47.0,4.0,2.0,24.0,2.0,1.0,3.0,0.0
2009,Morné van Wyk,,,,,,,,
2009,Murali Kartik,93.5,10.0,4.0,77.0,0.0,0.0,1.0,0.0
2009,Ricky Ponting,,,,,,,,
2009,Rohan Banerjee,,,,,,,,
2009,Sachin Rana,,,,,,,,
2009,Sanjay Bangar,,,,,,,,
2009,Shoaib Shaikh,7.5,2.0,0.0,0.0,1.0,0.0,2.0,0.0
2009,Siddarth Kaul,,,,,,,,
2009,Sourav Ganguly,85.0,13.0,2.0,17.0,13.0,6.0,3.0,0.0
2009,Wriddhiman Saha,26.5,8.0,0.0,0.0,3.0,4.0,2.0,0.0
2009,Yashpal Singh,20.0,8.0,0.0,0.0,5.0,0.0,3.0,0.0
