Season,Chennai Super Kings,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2010,Abhinav Mukund,,,,,,,,
2010,Albie Morkel,213.5,14.0,11.0,97.0,10.0,13.0,3.0,0.0
2010,Anirudha Srikkanth,,,,,,,,
2010,Chandrasekar Ganapathy,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2010,Doug Bollinger,147.0,8.0,12.0,94.0,1.0,1.0,2.0,0.0
2010,George Bailey,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
2010,Hemang Badani,,,,,,,,
2010,Jacob Oram,,,,,,,,
2010,Joginder Sharma,23.5,3.0,2.0,14.0,0.0,0.0,1.0,0.0
2010,Justin Kemp,34.0,5.0,3.0,15.0,1.0,1.0,1.0,0.0
2010,KB Arun Karthik,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Lakshmipathy Balaji,85.5,7.0,7.0,50.0,1.0,1.0,2.0,0.0
2010,Mahendra Singh Dhoni,120.5,13.0,0.0,0.0,26.0,8.0,5.0,6.0
2010,Makhaya Ntini,,,,,,,,
2010,Manpreet Gony,23.0,3.0,1.0,17.0,0.0,0.0,1.0,0.0
2010,Matthew Hayden,163.5,16.0,0.0,0.0,37.0,16.0,6.0,0.0
2010,Mike Hussey,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
2010,Murali Vijay,208.5,15.0,0.0,0.0,36.0,26.0,11.0,0.0
2010,Muttiah Muralitharan,181.0,12.0,15.0,121.0,0.0,0.0,3.0,0.0
2010,Parthiv Patel,27.0,4.0,0.0,0.0,6.0,2.0,0.0,2.0
2010,Ravichandran Ashwin,178.0,12.0,13.0,125.0,2.0,0.0,1.0,0.0
2010,Shadab Jakati,130.0,11.0,13.0,82.0,0.0,0.0,1.0,0.0
2010,Subramaniam Badrinath,122.5,16.0,0.0,0.0,41.0,5.0,1.0,0.0
2010,Sudeep Tyagi,42.5,6.0,1.0,34.0,0.0,0.0,2.0,0.0
2010,Suresh Raina,276.5,16.0,6.0,41.0,45.0,22.0,10.0,0.0
2010,Thilan Thushara,60.5,4.0,5.0,38.0,0.0,0.0,2.0,0.0
2010,Thisara Perera,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Vidyut Sivaramakrishnan,,,,,,,,
