Season,Mumbai Indians,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2010,Abhishek Nayar,19.5,3.0,0.0,0.0,4.0,2.0,1.0,0.0
2010,Abu Nechim Ahmed,,,,,,,,
2010,Aditya Tare,30.5,7.0,0.0,0.0,5.0,3.0,1.0,2.0
2010,Ajinkya Rahane,,,,,,,,
2010,Ali Murtaza,36.0,3.0,3.0,23.0,0.0,0.0,1.0,0.0
2010,Ambati Rayudu,148.0,14.0,0.0,0.0,34.0,13.0,6.0,1.0
2010,Chandan Madan,7.5,1.0,0.0,0.0,3.0,0.0,0.0,0.0
2010,Dhawal Kulkarni,13.5,1.0,1.0,10.0,0.0,0.0,0.0,0.0
2010,Dilhara Fernando,77.0,5.0,7.0,50.0,0.0,0.0,1.0,0.0
2010,Dwayne Bravo,93.5,10.0,4.0,48.0,3.0,4.0,4.0,0.0
2010,Graham Napier,,,,,,,,
2010,Harbhajan Singh,224.0,15.0,17.0,102.0,12.0,5.0,6.0,0.0
2010,Ishan Malhotra,,,,,,,,
2010,JP Duminy,74.0,7.0,1.0,13.0,13.0,5.0,3.0,0.0
2010,Kieron Pollard,242.5,14.0,15.0,58.0,23.0,17.0,6.0,0.0
2010,Kyle Mills,,,,,,,,
2010,Lasith Malinga,173.5,13.0,15.0,116.0,0.0,0.0,2.0,0.0
2010,Pinal Shah,,,,,,,,
2010,Rahul Shukla,,,,,,,,
2010,Rajagopal Sathish,56.0,12.0,2.0,14.0,11.0,0.0,3.0,0.0
2010,Ryan McLaren,105.5,10.0,4.0,69.0,7.0,0.0,2.0,0.0
2010,Sachin Tendulkar,233.0,15.0,0.0,0.0,86.0,3.0,3.0,0.0
2010,Sanath Jayasuriya,39.5,4.0,2.0,19.0,4.0,1.0,0.0,0.0
2010,Saurabh Tiwary,143.0,16.0,0.0,0.0,29.0,18.0,3.0,0.0
2010,Shikhar Dhawan,80.5,10.0,0.0,0.0,23.0,3.0,5.0,0.0
2010,Stuart Binny,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2010,Syed Shahabuddin,,,,,,,,
2010,Zaheer Khan,183.0,14.0,15.0,107.0,3.0,1.0,5.0,0.0
