Season,Kochi Tuskers Kerala,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2011,Balachandra Akhil,7.5,1.0,0.0,4.0,0.0,1.0,0.0,0.0
2011,Brad Hodge,151.5,14.0,7.0,28.0,26.0,9.0,1.0,0.0
2011,Brendon McCullum,148.5,13.0,0.0,0.0,35.0,16.0,2.0,0.0
2011,Chandan Madan,,,,,,,,
2011,Deepak Chougule,,,,,,,,
2011,Gnaneswara Rao,15.5,2.0,0.0,3.0,3.0,0.0,2.0,0.0
2011,John Hastings,,,,,,,,
2011,Kedar Jadhav,7.5,6.0,0.0,0.0,1.0,0.0,2.0,0.0
2011,Mahela Jayawardene,120.0,13.0,0.0,0.0,35.0,5.0,6.0,0.0
2011,Michael Klinger,22.5,4.0,0.0,0.0,9.0,0.0,0.0,0.0
2011,Muttiah Muralitharan,55.5,5.0,2.0,46.0,0.0,0.0,1.0,0.0
2011,Owais Shah,14.5,3.0,0.0,0.0,1.0,2.0,2.0,0.0
2011,Padmanabhan Prasanth,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2011,Parthiv Patel,92.0,14.0,0.0,0.0,25.0,2.0,8.0,1.0
2011,Prasanth Parameswaran,,,,,,,,
2011,R. P. Singh,188.0,14.0,13.0,135.0,0.0,0.0,3.0,0.0
2011,Raiphi Gomez,66.5,11.0,5.0,33.0,4.0,1.0,1.0,0.0
2011,Ramesh Powar,29.0,5.0,2.0,22.0,0.0,0.0,0.0,0.0
2011,Ravindra Jadeja,219.5,14.0,8.0,90.0,20.0,14.0,1.0,0.0
2011,Sreesanth,121.0,9.0,7.0,94.0,0.0,0.0,1.0,0.0
2011,Steve O'Keefe,,,,,,,,
2011,Steve Smith,,,,,,,,
2011,Sushant Marathe,,,,,,,,
2011,Tanmay Srivastava,,,,,,,,
2011,Thisara Perera,41.0,4.0,2.0,24.0,4.0,0.0,0.0,0.0
2011,V.V.S. Laxman,14.5,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2011,Vinay Kumar,168.5,13.0,12.0,103.0,4.0,1.0,4.0,0.0
2011,Yashpal Singh,,,,,,,,
