Season,Delhi Daredevils,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2012,Aaron Finch,20.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0
2012,Aavishkar Salvi,,,,,,,,
2012,Ajit Agarkar,35.5,4.0,3.0,20.0,0.0,0.0,2.0,0.0
2012,Andre Russell,49.5,4.0,1.0,28.0,3.0,3.0,0.0,0.0
2012,Colin Ingram,,,,,,,,
2012,David Warner,121.5,8.0,0.0,0.0,28.0,14.0,1.0,0.0
2012,Doug Bracewell,25.5,1.0,3.0,10.0,1.0,0.0,1.0,0.0
2012,Glenn Maxwell,9.5,2.0,1.0,6.0,0.0,0.0,0.0,0.0
2012,Gulam Bodi,,,,,,,,
2012,Irfan Pathan,249.0,17.0,8.0,145.0,14.0,6.0,8.0,0.0
2012,Kedar Jadhav,,,,,,,,
2012,Kevin Pietersen,142.5,8.0,0.0,10.0,22.0,20.0,3.0,0.0
2012,Kuldeep Raval,,,,,,,,
2012,Mahela Jayawardene,123.0,16.0,0.0,0.0,39.0,3.0,6.0,0.0
2012,Manpreet Juneja,,,,,,,,
2012,Morne Morkel,244.0,16.0,25.0,154.0,0.0,0.0,1.0,0.0
2012,Naman Ojha,135.5,18.0,0.0,0.0,21.0,13.0,13.0,2.0
2012,Pawan Negi,92.0,8.0,7.0,49.0,4.0,1.0,2.0,0.0
2012,Prashant Naik,,,,,,,,
2012,Puneet Bisht,,,,,,,,
2012,Robin BistX,,,,,,,,
2012,Roelof van der Merwe,35.5,3.0,2.0,26.0,0.0,0.0,1.0,0.0
2012,Ross Taylor,62.0,12.0,0.0,0.0,12.0,7.0,3.0,0.0
2012,Shahbaz Nadeem,123.5,12.0,8.0,88.0,0.0,0.0,3.0,0.0
2012,Sunny Gupta,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Tejashwi Yadav,,,,,,,,
2012,Travis Birt,,,,,,,,
2012,Umesh Yadav,219.0,17.0,19.0,145.0,0.0,0.0,3.0,0.0
2012,Unmukt Chand,18.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0
2012,Varun Aaron,103.5,8.0,8.0,73.0,0.0,0.0,1.0,0.0
2012,Vikas Mishra,,,,,,,,
2012,Virender Sehwag,233.5,16.0,0.0,7.0,57.0,19.0,7.0,0.0
2012,Yalaka Venugopal Rao,40.5,10.0,0.0,3.0,8.0,5.0,0.0,0.0
2012,Yogesh Nagar,54.0,13.0,0.0,1.0,13.0,3.0,4.0,0.0
2012,Zafir Patel,,,,,,,,
