Season,Kings XI Punjab,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2015,Anureet Singh,171.0,14.0,15.0,105.0,0.0,1.0,4.0,0.0
2015,Axar Patel,206.5,14.0,13.0,83.0,13.0,8.0,7.0,0.0
2015,Beuran Hendricks,49.5,4.0,5.0,27.0,0.0,0.0,2.0,0.0
2015,David Miller,143.5,13.0,0.0,0.0,21.0,21.0,7.0,0.0
2015,George Bailey,82.0,13.0,0.0,0.0,22.0,7.0,1.0,0.0
2015,Glenn Maxwell,91.5,11.0,2.0,19.0,13.0,8.0,2.0,0.0
2015,Gurkeerat Singh,43.0,5.0,3.0,19.0,3.0,1.0,1.0,0.0
2015,Karanveer Singh,30.5,4.0,1.0,22.0,1.0,0.0,1.0,0.0
2015,Manan Vohra,32.5,7.0,0.0,0.0,4.0,5.0,2.0,0.0
2015,Mitchell Johnson,127.5,9.0,9.0,90.0,1.0,1.0,0.0,0.0
2015,Murali Vijay,109.5,11.0,0.0,4.0,27.0,8.0,4.0,0.0
2015,Nikhil Naik,,,,,,,,
2015,Parvinder Awana,,,,,,,,
2015,Rishi Dhawan,35.5,5.0,1.0,20.0,2.0,2.0,0.0,0.0
2015,Sandeep Sharma,195.0,14.0,13.0,142.0,1.0,0.0,2.0,0.0
2015,Shardul Thakur,11.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0
2015,Shaun Marsh,28.0,4.0,0.0,0.0,7.0,3.0,0.0,0.0
2015,Shivam Sharma,6.5,1.0,1.0,3.0,0.0,0.0,0.0,0.0
2015,Thisara Perera,16.0,2.0,1.0,9.0,0.0,1.0,0.0,0.0
2015,Virender Sehwag,40.5,8.0,0.0,0.0,12.0,3.0,0.0,0.0
2015,Wriddhiman Saha,110.0,14.0,0.0,0.0,16.0,10.0,11.0,3.0
2015,Yogesh Golwalkar,,,,,,,,
