Season,Gujarat Lions,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2017,Aaron Finch,141.5,13.0,0.0,0.0,25.0,19.0,5.0,0.0
2017,Akshdeep Nath,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Andrew Tye,106.5,6.0,12.0,44.0,4.0,3.0,0.0,0.0
2017,Ankit Soni,50.0,7.0,2.0,37.0,0.0,1.0,1.0,0.0
2017,Basil Thampi,125.5,12.0,11.0,76.0,1.0,1.0,2.0,0.0
2017,Brendon McCullum,155.5,11.0,0.0,0.0,29.0,18.0,8.0,0.0
2017,Chirag Suri,,,,,,,,
2017,Dhawal Kulkarni,48.0,6.0,3.0,35.0,0.0,0.0,1.0,0.0
2017,Dinesh Karthik,133.5,14.0,0.0,0.0,30.0,11.0,8.0,0.0
2017,Dwayne Bravo,,,,,,,,
2017,Dwayne Smith,139.5,12.0,2.0,17.0,32.0,8.0,3.0,0.0
2017,Irfan Pathan,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
2017,James Faulkner,72.5,8.0,6.0,34.0,4.0,0.0,3.0,0.0
2017,Jason Roy,28.5,3.0,0.0,0.0,9.0,1.0,1.0,0.0
2017,Jaydev Shah,,,,,,,,
2017,Manpreet Gony,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
2017,Munaf Patel,13.5,2.0,1.0,10.0,0.0,0.0,0.0,0.0
2017,Nathu Singh,16.5,2.0,1.0,13.0,0.0,0.0,0.0,0.0
2017,Pradeep Sangwan,61.5,5.0,5.0,44.0,0.0,0.0,0.0,0.0
2017,Pratham Singh,,,,,,,,
2017,Praveen Kumar,61.0,6.0,6.0,40.0,0.0,0.0,0.0,0.0
2017,Ravindra Jadeja,126.0,12.0,5.0,57.0,13.0,4.0,2.0,0.0
2017,Rinku Singh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Shadab Jakati,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
2017,Shelley Shaurya,,,,,,,,
2017,Shivil Kaushik,,,,,,,,
2017,Shubham Agarwal,13.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0
2017,Suresh Raina,184.0,14.0,1.0,20.0,42.0,13.0,4.0,0.0
2017,Tejas Baroka,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
