Season,Rising Pune Supergiant,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2017,Adam Zampa,65.0,6.0,7.0,38.0,1.0,0.0,0.0,0.0
2017,Ajinkya Rahane,136.5,16.0,0.0,0.0,35.0,9.0,7.0,0.0
2017,Ankit Sharma,9.5,1.0,0.0,1.0,2.0,1.0,0.0,0.0
2017,Ankush Bains,,,,,,,,
2017,Ashok Dinda,27.0,3.0,1.0,21.0,1.0,0.0,0.0,0.0
2017,Baba Aparajith,,,,,,,,
2017,Ben Stokes,270.0,12.0,12.0,108.0,22.0,15.0,5.0,0.0
2017,Daniel Christian,157.5,13.0,11.0,74.0,5.0,5.0,6.0,0.0
2017,Deepak Chahar,22.5,3.0,1.0,12.0,0.0,2.0,0.0,0.0
2017,Francois du Plessis,2.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2017,Imran Tahir,162.0,12.0,18.0,94.0,0.0,0.0,2.0,0.0
2017,Ishwar Pandey,,,,,,,,
2017,Jaskaran Singh,,,,,,,,
2017,Jaydev Unadkat,225.5,12.0,24.0,119.0,0.0,0.0,9.0,0.0
2017,Lockie Ferguson,50.5,4.0,3.0,40.0,0.0,0.0,0.0,0.0
2017,Mahendra Singh Dhoni,126.0,16.0,0.0,0.0,15.0,16.0,10.0,3.0
2017,Manoj Tiwary,128.5,15.0,0.0,0.0,31.0,11.0,5.0,0.0
2017,Mayank Agarwal,10.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0
2017,Milind Tandon,,,,,,,,
2017,Mitchell Marsh,,,,,,,,
2017,Rahul Chahar,25.5,3.0,2.0,16.0,0.0,0.0,1.0,0.0
2017,Rahul Tripathi,179.5,14.0,0.0,0.0,43.0,17.0,5.0,0.0
2017,Rajat Bhatia,24.5,3.0,2.0,9.0,0.0,1.0,2.0,0.0
2017,Ravichandran Ashwin,,,,,,,,
2017,Saurabh Kumar,,,,,,,,
2017,Shardul Thakur,133.5,12.0,11.0,85.0,0.0,0.0,4.0,0.0
2017,Steve Smith,154.5,15.0,0.0,0.0,38.0,12.0,7.0,0.0
2017,Usman Khawaja,,,,,,,,
2017,Washington Sundar,121.5,11.0,8.0,81.0,0.0,0.0,5.0,0.0
