Season,Sunrisers Hyderabad,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2019,Abhishek Sharma,9.5,3.0,1.0,1.0,1.0,0.0,1.0,0.0
2019,Basil Thampi,21.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0
2019,Bhuvneshwar Kumar,226.0,15.0,13.0,168.0,1.0,0.0,4.0,0.0
2019,Billy Stanlake,,,,,,,,
2019,David Warner,221.0,12.0,0.0,0.0,57.0,21.0,2.0,0.0
2019,Deepak Hooda,45.5,11.0,1.0,1.0,5.0,1.0,10.0,0.0
2019,Jonny Bairstow,210.5,10.0,0.0,0.0,48.0,18.0,9.0,2.0
2019,Kane Williamson,52.5,9.0,0.0,0.0,12.0,5.0,2.0,0.0
2019,Khaleel Ahmed,153.5,9.0,19.0,87.0,0.0,0.0,0.0,0.0
2019,Manish Pandey,123.5,12.0,0.0,0.0,34.0,6.0,7.0,0.0
2019,Martin Guptill,37.0,3.0,0.0,0.0,4.0,7.0,1.0,0.0
2019,Mohammad Nabi,156.5,8.0,8.0,69.0,8.0,7.0,6.0,0.0
2019,Rashid Khan,247.5,15.0,17.0,166.0,2.0,2.0,4.0,0.0
2019,Ricky Bhui,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sandeep Sharma,129.0,11.0,12.0,82.0,1.0,0.0,1.0,0.0
2019,Shahbaz Nadeem,17.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0
2019,Shakib Al Hasan,29.0,3.0,2.0,22.0,0.0,0.0,0.0,0.0
2019,Shreevats Goswami,,,,,,,,
2019,Siddarth Kaul,79.5,7.0,6.0,56.0,0.0,0.0,1.0,0.0
2019,T Natarajan,,,,,,,,
2019,Vijay Shankar,112.0,15.0,1.0,14.0,11.0,12.0,10.0,0.0
2019,Wriddhiman Saha,48.5,5.0,0.0,0.0,13.0,1.0,4.0,1.0
2019,Yusuf Pathan,9.5,10.0,0.0,1.0,1.0,1.0,1.0,0.0
