Match_ID,Season,Date,Team1,Team2,Toss_Winner,Toss_Decision,result,DL_Method,Winner,Win_By_Runs,Win_By_Wicket,Man_Of_The_Match,Venue,Umpire1,Umpire2,Umpire3,Total_Balls,Team1_Strength,Team2_Strength,Team1_Strength,Team2_Strength
1,2013,5/19/13,Pune Warriors India,Delhi Daredevils,Pune Warriors India,bat,Normal,0,Pune Warriors India,38.0,,LJ Wright,Subrata Roy Sahara Stadium,NJ Llong,SJA Taufel,,250,237.5,242.25,79.16666666666667,20.471830985915492
2,2015,4/15/15,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Normal,0,Delhi Daredevils,,5.0,MA Agarwal,Maharashtra Cricket Association Stadium,CB Gaffaney,K Srinath,,253,654.75,1410.5,100.73076923076923,88.15625
3,2011,5/14/11,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Normal,1,Royal Challengers Bangalore,,4.0,CH Gayle,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,,159,579.0,385.375,28.016129032258064,27.04385964912281
4,2017,5/7/17,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Normal,0,Gujarat Lions,,6.0,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,VK Sharma,,244,237.5,183.21428571428572,17.378048780487806,98.65384615384616
5,2010,4/17/10,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Normal,0,Mumbai Indians,57.0,,R McLaren,M Chinnaswamy Stadium,HDPK Dharmasena,SJA Taufel,,248,285.1666666666667,420.625,95.05555555555556,140.20833333333334
6,2016,4/26/16,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,Normal,1,Rising Pune Supergiant,34.0,,AB Dinda,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,CK Nandan,,196,443.125,383.8333333333333,93.28947368421052,191.91666666666666
7,2012,4/18/12,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Normal,0,Kolkata Knight Riders,,8.0,G Gambhir,"Punjab Cricket Association Stadium, Mohali",JD Cloete,RJ Tucker,,222,676.0,797.25,67.6,88.58333333333333
8,2013,4/25/13,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Normal,0,Chennai Super Kings,,5.0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Aleem Dar,S Das,,246,527.875,470.875,78.20370370370371,110.79411764705883
9,2011,4/10/11,Pune Warriors India,Kings XI Punjab,Kings XI Punjab,bat,Normal,0,Pune Warriors India,,7.0,SB Wagh,Dr DY Patil Sports Academy,BR Doctrove,PR Reiffel,,207,1307.5,1558.5,1307.5,222.64285714285714
10,2019,4/28/19,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Normal,0,Kolkata Knight Riders,34.0,,AD Russell,Eden Gardens,IJ Gould,Nitin Menon,,246,241.5,326.8333333333333,43.34615384615385,47.829268292682926
11,2008,4/19/08,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Delhi Daredevils,,9.0,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,,219,1484.0,1983.5,78.10526315789474,94.45238095238095
12,2014,5/19/14,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Normal,0,Mumbai Indians,25.0,,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,,250,275.9,237.25,26.528846153846153,19.5
13,2013,4/22/13,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Chennai Super Kings,,5.0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",S Asnani,AK Chaudhary,,248,703.8333333333334,655.8333333333334,100.54761904761905,75.67307692307692
14,2011,4/17/11,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,8.0,L Balaji,Eden Gardens,Aleem Dar,RB Tiffin,,185,770.75,1188.0,77.075,66.0
15,2010,3/19/10,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Normal,0,Chennai Super Kings,,5.0,ML Hayden,Feroz Shah Kotla,BR Doctrove,SK Tarapore,,248,625.25,913.25,625.25,913.25
16,2019,5/12/19,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Normal,0,Mumbai Indians,1.0,,JJ Bumrah,"Rajiv Gandhi International Stadium, Uppal",IJ Gould,Nitin Menon,,247,326.8333333333333,279.35714285714283,39.22,45.47674418604651
17,2008,4/26/08,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,7.0,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell,,229,636.25,661.1666666666666,33.48684210526316,66.11666666666666
18,2014,5/12/14,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Normal,0,Mumbai Indians,,7.0,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VA Kulkarni,,239,375.375,355.875,45.5,21.9
