,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Deccan Chargers,Chennai Super Kings
0,Abdur Razzak,Aakash Chopra,Abhishek Nayar,Abhishek Raut,Ajitesh Argal,AB de Villiers,Adam Gilchrist,Abhinav Mukund
1,Anil Kumble,Ajantha Mendis,Ajinkya Rahane,Aditya Angle,Azhar Mehmood,Amit Mishra,Andrew Symonds,Albie Morkel
2,Ashley Noffke,Ajit Agarkar,André Nel,Anup Revandkar,Brett Lee,Brett Geeves,Arjun Yadav,Anirudha Srikkanth
3,Balachandra Akhil,Ashok Dinda,Ankeet Chavan,Darren Lehmann,Fidel Edwards,Daniel Vettori,Chamara Silva,Chamara Kapugedera
4,Bharat Chipli,Brad Hodge,Ashwell Prince,Dimitri Mascarenhas,Gagandeep Singh,Dinesh Karthik,Chaminda Vaas,Jacob Oram
5,Cameron White,Brendon McCullum,Ashish Nehra,Dinesh Salunkhe,Irfan Pathan,Farveez Maharoof,Doddapaneni Kalyankrishna,Joginder Sharma
6,Dale Steyn,Cheteshwar Pujara,Dhawal Kulkarni,Faiz Fazal,James Hopes,Gautam Gambhir,Dwaraka Ravi Teja,KB Arun Karthik
7,Devraj Patil,Chris Gayle,Dilhara Fernando,Graeme Smith,Karan Goel,Glenn McGrath,Halhadar Das,Lakshmipathy Balaji
8,Jacques Kallis,David Hussey,Dominic Thornley,Jaydev Shah,Kumar Sangakkara,Manoj Tiwary,Herschelle Gibbs,Mahendra Singh Dhoni
9,Jagadeesh Arunkumar,Debabrata Das,Dwayne Bravo,Justin Langer,Kyle Mills,Mayank Tehlan,Mohnish Mishra,Makhaya Ntini
10,KP Appanna,Iqbal Abdulla,Dwayne Smith,Kamran Akmal,Luke Pomersbach,Mithun Manhas,Nuwan Zoysa,Manpreet Gony
11,Mark Boucher,Ishant Sharma,Gaurav Dhiman,Mahesh Rawat,Mahela Jayawardene,Mohammad Asif,Paidikalva Vijaykumar,Matthew Hayden
12,Misbah-ul-Haq,Laxmi Ratan Shukla,Harbhajan Singh,Mohammad Kaif,Nitin Saini,Pradeep Sangwan,PM Sarvesh Kumar,Mike Hussey
13,Nathan Bracken,Mashrafe Mortaza,Lasith Malinga,Morne Morkel,Pankaj Dharmani,Rajat Bhatia,Pragyan Ojha,Muttiah Muralitharan
14,Neravanda Aiyappa,Mohammad Hafeez,Loots Bosman,Munaf Patel,Piyush Chawla,Shikhar Dhawan,R. P. Singh,Napoleon Einstein
15,Praveen Kumar,Murali Kartik,Luke Ronchi,Niraj Patel,Ramesh Powar,Shoaib Malik,Rohit Sharma,Palani Amarnath
16,Rahul Dravid,Ranadeb Bose,Manish Pandey,Pankaj Singh,Ramnaresh Sarwan,Sumit Narwal,Sanjay Bangar,Parthiv Patel
17,Ross Taylor,Ricky Ponting,Mohammad Ashraful,Parag More,Rishi Dhawan,Tejashwi Yadav,Shahid Afridi,Ravichandran Ashwin
18,Shivnarine Chanderpaul,Rohan Banerjee,Musavir Khote,Ravindra Jadeja,Sahil Kukreja,Tillakaratne Dilshan,Scott Styris,Selvam Suresh Kumar
19,Shreevats Goswami,Salman Butt,Pinal Shah,Shane Warne,Shaun Marsh,Virender Sehwag,V.V.S. Laxman,Shadab Jakati
20,Sunil Joshi,Saurasish Lahiri,Rajesh Pawar,Shane Watson,Simon Katich,Yogesh Nagar,Yalaka Venugopal Rao,Stephen Fleming
21,Vinay Kumar,Shoaib Akhtar,Robin Uthappa,Siddharth Trivedi,Sreesanth,Yo Mahesh,,Subramaniam Badrinath
22,Virat Kohli,Siddarth Kaul,Rohan Raje,Sohail Tanvir,Sunny Sohal,,,Sudeep Tyagi
23,Wasim Jaffer,Sourav Ganguly,Sachin Tendulkar,Sumit Khatri,Tanmay Srivastava,,,Suresh Raina
24,Zaheer Khan,Tatenda Taibu,Sanath Jayasuriya,Swapnil Asnodkar,Uday Kaul,,,Vidyut Sivaramakrishnan
25,,Umar Gul,Saurabh Tiwary,Taruwar Kohli,V. R. V. Singh,,,Viraj Kadbe
26,,Wriddhiman Saha,Shaun Pollock,Younis Khan,Wilkin Mota,,,
27,,Yashpal Singh,Siddharth Chitnis,Yusuf Pathan,Yuvraj Singh,,,
28,,,Swapnil Singh,,,,,
29,,,Vikrant Yeligati,,,,,
30,,,Yogesh Takawale,,,,,
