,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Deccan Chargers,Chennai Super Kings,Pune Warriors India,Kochi Tuskers Kerala
0,KB Arun Karthik,Lakshmipathy Balaji,Andrew Symonds,Jacob Oram,Adam Gilchrist,Yalaka Venugopal Rao,Manpreet Gony,Abhinav Mukund,Mohnish Mishra,Muttiah Muralitharan
1,AB de Villiers,Gautam Gambhir,Rohit Sharma,Sumit Narwal,Dinesh Karthik,Tejashwi Yadav,Arjun Yadav,Albie Morkel,Mithun Manhas,Parthiv Patel
2,Daniel Vettori,Manoj Tiwary,Dhawal Kulkarni,Aakash Chopra,David Hussey,Virender Sehwag,Dwaraka Ravi Teja,Anirudha Srikkanth,Mashrafe Mortaza,R. P. Singh
3,Tillakaratne Dilshan,Pradeep Sangwan,Dilhara Fernando,Ajinkya Rahane,Azhar Mehmood,Yogesh Nagar,Pragyan Ojha,Joginder Sharma,Murali Kartik,V.V.S. Laxman
4,Cheteshwar Pujara,Rajat Bhatia,Harbhajan Singh,Ankeet Chavan,Nitin Saini,Ajit Agarkar,Amit Mishra,Mahendra Singh Dhoni,Sourav Ganguly,Brad Hodge
5,Chris Gayle,Iqbal Abdulla,Lasith Malinga,Pinal Shah,Piyush Chawla,Ashok Dinda,Shikhar Dhawan,Mike Hussey,Fidel Edwards,Brendon McCullum
6,Luke Pomersbach,Laxmi Ratan Shukla,Sachin Tendulkar,Rahul Dravid,Shaun Marsh,Irfan Pathan,Ishant Sharma,Ravichandran Ashwin,Yuvraj Singh,Yashpal Singh
7,Saurabh Tiwary,Brett Lee,Munaf Patel,Ross Taylor,Abhishek Nayar,James Hopes,Kumar Sangakkara,Shadab Jakati,Ashish Nehra,Mahela Jayawardene
8,Virat Kohli,Jacques Kallis,Tirumalasetti Suman,Abhishek Raut,Siddharth Chitnis,Morne Morkel,Sunny Sohal,Subramaniam Badrinath,Manish Pandey,Ramesh Powar
9,Zaheer Khan,Mark Boucher,Moises Henriques,Dinesh Salunkhe,Praveen Kumar,Aavishkar Salvi,Rajesh Pawar,Sudeep Tyagi,Robin Uthappa,Sreesanth
10,Mohammad Kaif,Shreevats Goswami,Abu Nechim Ahmed,Faiz Fazal,Dimitri Mascarenhas,Andrew McDonald,Bharat Chipli,Suresh Raina,Graeme Smith,Tanmay Srivastava
11,Dirk Nannes,Yusuf Pathan,Aditya Tare,Pankaj Singh,Ryan Harris,David Warner,Cameron White,Scott Styris,Mitchell Marsh,Balachandra Akhil
12,Charl Langeveldt,Manvinder Bisla,Ali Murtaza,Shane Warne,Vikramjeet Malik,Umesh Yadav,Dale Steyn,Yo Mahesh,Rahul Sharma,Vinay Kumar
13,Ryan Ninan,Eoin Morgan,Ambati Rayudu,Shane Watson,Ryan McLaren,Roelof van der Merwe,Jaydev Shah,Wriddhiman Saha,Wayne Parnell,Ravindra Jadeja
