,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Deccan Chargers,Chennai Super Kings,Pune Warriors India
0,KB Arun Karthik,Lakshmipathy Balaji,Herschelle Gibbs,Jacob Oram,Adam Gilchrist,Yalaka Venugopal Rao,Manpreet Gony,Abhinav Mukund,Mohnish Mishra
1,Muttiah Muralitharan,Gautam Gambhir,Pragyan Ojha,Sumit Narwal,David Hussey,Tejashwi Yadav,Parthiv Patel,Albie Morkel,Mithun Manhas
2,AB de Villiers,Manoj Tiwary,R. P. Singh,Aakash Chopra,Azhar Mehmood,Virender Sehwag,Arjun Yadav,Anirudha Srikkanth,Ashok Dinda
3,Daniel Vettori,Pradeep Sangwan,Rohit Sharma,Brad Hodge,Nitin Saini,Yogesh Nagar,Dwaraka Ravi Teja,Joginder Sharma,Mashrafe Mortaza
4,Tillakaratne Dilshan,Rajat Bhatia,Dinesh Karthik,Sreesanth,Piyush Chawla,Ajit Agarkar,Amit Mishra,Mahendra Singh Dhoni,Murali Kartik
5,Cheteshwar Pujara,Brendon McCullum,Dhawal Kulkarni,Ajinkya Rahane,Ramesh Powar,Irfan Pathan,Shikhar Dhawan,Mike Hussey,Sourav Ganguly
6,Chris Gayle,Debabrata Das,Dwayne Smith,Ankeet Chavan,Shaun Marsh,Mahela Jayawardene,Ishant Sharma,Ravichandran Ashwin,Fidel Edwards
7,Luke Pomersbach,Iqbal Abdulla,Harbhajan Singh,Pinal Shah,Abhishek Nayar,Ross Taylor,Kumar Sangakkara,Shadab Jakati,James Hopes
8,Saurabh Tiwary,Laxmi Ratan Shukla,Lasith Malinga,Rahul Dravid,Siddharth Chitnis,Morne Morkel,Sunny Sohal,Subramaniam Badrinath,Yuvraj Singh
9,KP Appanna,Brett Lee,Sachin Tendulkar,Shreevats Goswami,Praveen Kumar,Aavishkar Salvi,Tanmay Srivastava,Sudeep Tyagi,Ashish Nehra
10,Vinay Kumar,Jacques Kallis,Yogesh Takawale,Abhishek Raut,Dimitri Mascarenhas,David Warner,Bharat Chipli,Suresh Raina,Manish Pandey
11,Virat Kohli,Yusuf Pathan,Jaydev Shah,Faiz Fazal,Harmeet Singh,Umesh Yadav,Cameron White,Scott Styris,Robin Uthappa
12,Zaheer Khan,Manvinder Bisla,Munaf Patel,Pankaj Singh,Ryan Harris,Kedar Jadhav,Dale Steyn,Yo Mahesh,Graeme Smith
