,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Chennai Super Kings,Pune Warriors India,Sunrisers Hyderabad
0,Abhinav Mukund,Lakshmipathy Balaji,Jacob Oram,Brad Hodge,Manpreet Gony,Yalaka Venugopal Rao,Albie Morkel,Mohnish Mishra,Parthiv Patel
1,KB Arun Karthik,Gautam Gambhir,Pragyan Ojha,Fidel Edwards,Adam Gilchrist,Virender Sehwag,Anirudha Srikkanth,Mithun Manhas,Sudeep Tyagi
2,Muttiah Muralitharan,Manoj Tiwary,Rohit Sharma,Sreesanth,David Hussey,Yogesh Nagar,Mahendra Singh Dhoni,Ajantha Mendis,Dwaraka Ravi Teja
3,R. P. Singh,Pradeep Sangwan,Dinesh Karthik,Ajinkya Rahane,Azhar Mehmood,Ajit Agarkar,Mike Hussey,Ashok Dinda,Amit Mishra
4,AB de Villiers,Rajat Bhatia,Ricky Ponting,Ankeet Chavan,Luke Pomersbach,Siddarth Kaul,Ravichandran Ashwin,Yuvraj Singh,Shikhar Dhawan
5,Daniel Vettori,Sumit Narwal,Rishi Dhawan,Rahul Dravid,Nitin Saini,Irfan Pathan,Shadab Jakati,Abhishek Nayar,Ishant Sharma
6,Tillakaratne Dilshan,Brendon McCullum,Dhawal Kulkarni,Shreevats Goswami,Piyush Chawla,Mahela Jayawardene,Subramaniam Badrinath,Manish Pandey,Kumar Sangakkara
7,Cheteshwar Pujara,Debabrata Das,Dwayne Smith,Abhishek Raut,Ramesh Powar,Ashish Nehra,Suresh Raina,Robin Uthappa,Cameron White
8,Chris Gayle,Iqbal Abdulla,Harbhajan Singh,Shane Watson,Shaun Marsh,Bharat Chipli,Wriddhiman Saha,Ross Taylor,Dale Steyn
9,Murali Kartik,Laxmi Ratan Shukla,Lasith Malinga,Siddharth Trivedi,Siddharth Chitnis,Morne Morkel,Dwayne Bravo,Mahesh Rawat,Sachin Rana
10,Sunny Sohal,Mashrafe Mortaza,Sachin Tendulkar,Harmeet Singh,Praveen Kumar,Aavishkar Salvi,Ravindra Jadeja,Mitchell Marsh,JP Duminy
11,Saurabh Tiwary,Brett Lee,Munaf Patel,Owais Shah,Dimitri Mascarenhas,David Warner,Murali Vijay,Rahul Sharma,Karn Sharma
12,KP Appanna,Jacques Kallis,Abu Nechim Ahmed,Vikramjeet Malik,Ryan Harris,Umesh Yadav,Dirk Nannes,Tirumalasetti Suman,Thisara Perera
13,Vinay Kumar,Yusuf Pathan,Aditya Tare,Aditya Dole,Paul Valthaty,CM Gautam,Ben Hilfenhaus,Wayne Parnell,Ashish Reddy
14,Virat Kohli,Manvinder Bisla,Ambati Rayudu,Amit Singh,Mandeep Singh,Jesse Ryder,Francois du Plessis,Angelo Mathews,Anand Rajan
15,Zaheer Khan,Ryan McLaren,Kieron Pollard,Shaun Tait,Bipul Sharma,Kedar Jadhav,Nuwan Kulasekara,Bhuvneshwar Kumar,Ankit Sharma
16,Pankaj Singh,Eoin Morgan,Sushant Marathe,Rahul Shukla,Rajagopal Sathish,Kevin Pietersen,Imtiaz Ahmed,Raiphi Gomez,Chris Lynn
17,Andrew McDonald,Sarabjit Ladda,Aiden Blizzard,Stuart Binny,Bhargav Bhatt,Roelof van der Merwe,Akila Dananjaya,Ali Murtaza,Padmanabhan Prasanth
18,Moises Henriques,Brad Haddin,James Franklin,Ajit Chandila,David Miller,Johan Botha,Ankit Rajpoot,Steve Smith,Clint McKay
19,Abhimanyu Mithun,James Pattinson,Pawan Suyal,James Faulkner,Manan Vohra,Naman Ojha,Baba Aparajith,Aaron Finch,Nathan McCullum
20,Sreenath Aravind,Mohammed Shami,Suryakumar Yadav,Ashok Menaria,Sunny Singh,Varun Aaron,Ben Laughlin,Shrikant Wagh,Akshath Reddy
21,Jaydev Unadkat,Ryan ten Doeschate,Yuzvendra Chahal,Deepak Chahar,Gurkeerat Singh,Robin BistX,Chris Morris,Dheeraj Jadhav,Biplab Samantray
22,Daniel Christian,Shakib Al Hasan,Glenn Maxwell,Dishant Yagnik,Parvinder Awana,Shahbaz Nadeem,Jason Holder,Eklavya Dwivedi,Veer Pratap Singh
23,Prasanth Parameswaran,Marchant de Lange,Amitoze Singh,Samad Fallah,Aniket Choudhary,Unmukt Chand,Mohit Sharma,Harpreet Singh,Darren Sammy
24,Mayank Agarwal,Sunil Narine,Mitchell Johnson,Sanju Samson,Michael Neser,Andre Russell,R. Karthikeyan,Anustup Majumdar,Hanuma Vihari
25,Rilee Rossouw,Sachithra Senanayake,Axar Patel,Brad Hogg,Sandeep Sharma,Gulam Bodi,Ronit More,Krishnakant Upadhyay,Quinton de Kock
26,Syed Mohammed,,Jalaj Saxena,Kevon Cooper,,Manpreet Juneja,Vijay Shankar,Luke Wright,Thalaivan Sargunam
27,Harshal Patel,,Jasprit Bumrah,Samuel Badree,,Pawan Negi,,Marlon Samuels,
28,Karun Nair,,Javed Khan,Kumar Boresa,,Puneet Bisht,,Michael Clarke,
29,Vijay Zol,,Nathan Coulter-Nile,Kusal Perera,,Sunny Gupta,,Tamim Iqbal,
30,Chris Barnwell,,Phillip Hughes,Pravin Tambe,,Sujit Nayak,,Ishwar Pandey,
31,KL Rahul,,,Sachin Baby,,Arisht Singhvi,,Kane Richardson,
32,Ravi Rampaul,,,,,Ben Rohrer,,Parvez Rasool,
33,Sandeep Warrier,,,,,Jeevan Mendis,,Udit Birla,
34,Sheldon Jackson,,,,,Royston Dias,,,
