,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Chennai Super Kings,Sunrisers Hyderabad
0,Subramaniam Badrinath,Gautam Gambhir,Parthiv Patel,Rajat Bhatia,Virender Sehwag,Albie Morkel,Mahendra Singh Dhoni,Shikhar Dhawan
1,AB de Villiers,Sumit Narwal,Pragyan Ojha,Ajinkya Rahane,Wriddhiman Saha,Amit Mishra,Mike Hussey,Ishant Sharma
2,Dinesh Karthik,Azhar Mehmood,Rohit Sharma,Dhawal Kulkarni,Rishi Dhawan,Manoj Tiwary,Ravichandran Ashwin,Laxmi Ratan Shukla
3,Ashok Dinda,Piyush Chawla,Harbhajan Singh,Dinesh Salunkhe,Shaun Marsh,Yuvraj Singh,Suresh Raina,Siddarth Kaul
4,Chris Gayle,Manish Pandey,Lasith Malinga,Shane Watson,George Bailey,Saurabh Tiwary,Mithun Manhas,Dale Steyn
5,Iqbal Abdulla,Robin Uthappa,Vinay Kumar,Rusty Theron,Murali Vijay,Zaheer Khan,Brendon McCullum,Praveen Kumar
6,Yogesh Takawale,Morne Morkel,Abhimanyu Mithun,Vikramjeet Malik,Anureet Singh,Angelo Mathews,Irfan Pathan,David Warner
7,Virat Kohli,Yusuf Pathan,Aditya Tare,Stuart Binny,Thisara Perera,JP Duminy,Ashish Nehra,Moises Henriques
8,Manvinder Bisla,Umesh Yadav,Ambati Rayudu,Steve Smith,David Miller,CM Gautam,Dwayne Bravo,Ravi Bopara
9,Abu Nechim Ahmed,Chris Lynn,Kieron Pollard,Tim Southee,Manan Vohra,Kedar Jadhav,Dwayne Smith,Bhuvneshwar Kumar
10,Sreenath Aravind,Ryan ten Doeschate,Aaron Finch,Ankit Sharma,Glenn Maxwell,Jaydev Unadkat,Ravindra Jadeja,Eoin Morgan
11,Mandeep Singh,Shakib Al Hasan,Ben Hilfenhaus,James Faulkner,Gurkeerat Singh,Shahbaz Nadeem,Rahul Sharma,Karn Sharma
12,Varun Aaron,Suryakumar Yadav,Unmukt Chand,Dishant Yagnik,Parvinder Awana,Mohammed Shami,Francois du Plessis,Kevin Pietersen
13,Yuzvendra Chahal,Veer Pratap Singh,Aiden Blizzard,Sanju Samson,Mitchell Johnson,Mayank Agarwal,Eklavya Dwivedi,Naman Ojha
14,Rilee Rossouw,Andre Russell,Pawan Suyal,Ben Cutting,Sandeep Sharma,Nathan Coulter-Nile,Pawan Negi,Ashish Reddy
15,Harshal Patel,Sunil Narine,Marchant de Lange,Karun Nair,Axar Patel,Quinton de Kock,Kyle Abbott,Bipul Sharma
16,Vijay Zol,Kuldeep Yadav,Jasprit Bumrah,Chris Morris,Beuran Hendricks,Imran Tahir,Samuel Badree,Padmanabhan Prasanth
17,Jalaj Saxena,Brad Hogg,Corey Anderson,Kane Richardson,Karanveer Singh,Jayant Yadav,Baba Aparajith,Parvez Rasool
18,Sandeep Warrier,Sheldon Jackson,Josh Hazlewood,Pravin Tambe,Shardul Thakur,Domnic Muthuswami,Mohit Sharma,KL Rahul
19,Darren Sammy,Jimmy Neesham,Lendl Simmons,Deepak Hooda,Shivam Sharma,Gurinder Sandhu,Ronit More,Hanuma Vihari
20,Mitchell Starc,Pat Cummins,Shreyas Gopal,Rahul Tewatia,Nikhil Naik,KK Jiyas,Ishwar Pandey,Chama Milind
21,Nic Maddinson,Aditya Garhwal,Akshay Wakhare,Barinder Sran,Yogesh Golwalkar,Marcus Stoinis,Matt Henry,Ricky Bhui
22,Adam Milne,KC Cariappa,Alex Hales,Pardeep Sahu,,Shreyas Iyer,Ankush Bains,Kane Williamson
23,David Wiese,Vaibhav Rawal,Colin Munro,Sagar Trivedi,,Srikar Bharat,Andrew Tye,Trent Boult
24,Sarfaraz Khan,,Hardik Pandya,,,Travis Head,Pratyush Singh,
25,Sean Abbott,,Jagadeesha Suchith,,,,,
26,Shishir Bhavane,,Mitchell McClenaghan,,,,,
27,,,Nitish Rana,,,,,
28,,,Siddhesh Lad,,,,,
