,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Kings XI Punjab,Delhi Daredevils,Sunrisers Hyderabad,Rising Pune Supergiant,Gujarat Lions
0,AB de Villiers,Gautam Gambhir,Parthiv Patel,Ishant Sharma,Amit Mishra,Shikhar Dhawan,Mahendra Singh Dhoni,Manpreet Gony
1,Chris Gayle,Piyush Chawla,Rohit Sharma,Wriddhiman Saha,Zaheer Khan,Siddarth Kaul,Ravichandran Ashwin,Shadab Jakati
2,Iqbal Abdulla,Rishi Dhawan,Harbhajan Singh,Shaun Marsh,Angelo Mathews,Yuvraj Singh,Manoj Tiwary,Suresh Raina
3,Virat Kohli,Manish Pandey,Lasith Malinga,Swapnil Singh,JP Duminy,Ashish Nehra,Rajat Bhatia,Dinesh Karthik
4,Shane Watson,Robin Uthappa,Saurabh Tiwary,Murali Vijay,Aditya Tare,David Warner,Ashok Dinda,Pradeep Sangwan
5,Abu Nechim Ahmed,Yusuf Pathan,Vinay Kumar,Anureet Singh,Ben Hilfenhaus,Moises Henriques,Ajinkya Rahane,Brendon McCullum
6,Kedar Jadhav,Umesh Yadav,Karn Sharma,Eoin Morgan,Shahbaz Nadeem,Abhimanyu Mithun,Jaskaran Singh,Irfan Pathan
7,Sreenath Aravind,Ishank Jaggi,Ambati Rayudu,Varun Aaron,Mohammed Shami,Bhuvneshwar Kumar,Mitchell Marsh,Dhawal Kulkarni
8,Mandeep Singh,Chris Lynn,Kieron Pollard,David Miller,Sanju Samson,Naman Ojha,Jaydev Unadkat,Dwayne Bravo
9,Stuart Binny,Shakib Al Hasan,Tim Southee,Manan Vohra,Marlon Samuels,Bipul Sharma,Steve Smith,Dwayne Smith
10,Yuzvendra Chahal,Suryakumar Yadav,Mitchell Johnson,Glenn Maxwell,Karun Nair,Eklavya Dwivedi,Francois du Plessis,Praveen Kumar
11,Harpreet Singh,Darren Bravo,Jasprit Bumrah,Gurkeerat Singh,Chris Morris,Ben Cutting,Ankit Sharma,Jaydev Shah
12,Pawan Negi,Andre Russell,Lendl Simmons,Mohit Sharma,Quinton de Kock,Ben Laughlin,Daniel Christian,Munaf Patel
13,Harshal Patel,Sunil Narine,Shreyas Gopal,Sandeep Sharma,Jayant Yadav,Vijay Shankar,Mayank Agarwal,Ravindra Jadeja
14,Samuel Badree,Kuldeep Yadav,Hardik Pandya,Axar Patel,Pat Cummins,Pravin Tambe,Deepak Chahar,Aaron Finch
15,Aniket Choudhary,Ankit Rajpoot,Jagadeesha Suchith,Darren Sammy,Corey Anderson,Deepak Hooda,Baba Aparajith,James Faulkner
16,KL Rahul,Nathan Coulter-Nile,Mitchell McClenaghan,Matt Henry,Chama Milind,Barinder Sran,Ishwar Pandey,Andrew Tye
17,Sachin Baby,Sheldon Jackson,Nitish Rana,Rahul Tewatia,Pratyush Singh,Kane Williamson,Imran Tahir,Akshdeep Nath
18,Travis Head,Trent Boult,Siddhesh Lad,Marcus Stoinis,Shreyas Iyer,Chris Jordan,Shardul Thakur,Shivil Kaushik
19,Adam Milne,Chris Woakes,Ishan Kishan,KC Cariappa,Carlos Brathwaite,Mustafizur Rahman,Ankush Bains,Nathu Singh
20,Sarfaraz Khan,Colin de Grandhomme,Deepak Punia,Nikhil Naik,Khaleel Ahmed,Mohammad Nabi,Adam Zampa,Ankit Soni
21,Praveen Dubey,Rovman Powell,Jitesh Sharma,Pardeep Sahu,Rishabh Pant,Mohammed Siraj,Usman Khawaja,Basil Thampi
22,Tabraiz Shamsi,Sanjay Yadav,Jos Buttler,Armaan Jaffer,Sam Billings,Rashid Khan,Ben Stokes,Chirag Suri
23,Avesh Khan,Sayan Ghosh,Krunal Pandya,Hashim Amla,Murugan Ashwin,Tanmay Agarwal,Lockie Ferguson,Jason Roy
24,Billy Stanlake,,Asela Gunaratne,Martin Guptill,Ankit Bawne,,Milind Tandon,Pratham Singh
25,Tymal Mills,,Krishnappa Gowtham,T Natarajan,Kagiso Rabada,,Rahul Chahar,Rinku Singh
26,Vishnu Vinod,,Kulwant Khejroliya,,Navdeep Saini,,Rahul Tripathi,Shelley Shaurya
27,,,Nicholas Pooran,,Shashank Singh,,Saurabh Kumar,Shubham Agarwal
28,,,,,,,Washington Sundar,Tejas Baroka
