,Avg_Balls
A Ashish Reddy,5.639341197
A Chopra,6.268629915
A Dananjaya,8.41191231
A Flintoff,6.986965387
A Kumble,4.291479907
A Mishra,5.176498163
A Mithun,5.895192189
A Mukund,6.051594145
A Nehra,2.402725907
A Singh,6.209820515
A Symonds,9.333834057
A Uniyal,11.24731227
A Zampa,6.27976754
AA Bilakhia,6.801439377
AA Chavan,6.924135675
AA Jhunjhunwala,7.209652414
AA Noffke,7.859068792
AB Agarkar,4.208158909
AB Barath,5.316494167
AB Dinda,3.964420934
AB McDonald,6.063016641
AB de Villiers,13.67360973
AC Blizzard,4.9450193
AC Gilchrist,12.2924314
AC Thomas,5.750867093
AC Voges,6.530709358
AD Hales,6.620562484
AD Mascarenhas,4.568637083
AD Mathews,8.235507594
AD Nath,3.486015564
AD Russell,9.282910965
AG Murtaza,5.980356301
AG Paunikar,7.801845097
AJ Finch,8.755871312
AJ Tye,3.212176646
AL Menaria,8.017371382
AM Nayar,7.467275805
AM Rahane,18.58163457
AN Ahmed,6.516029681
AP Majumdar,6.81561715
AP Tare,6.823608082
AR Bawne,8.697275975
AR Patel,8.313523366
AS Joseph,7.364320681
AS Rajpoot,3.076837353
AS Raut,4.737650849
AS Yadav,6.33463287
AT Rayudu,14.8905233
AUK Pathan,7.666524968
Abhishek Sharma,4.38785918
Anirudh Singh,5.730402557
Ankit Sharma,4.522846462
Anureet Singh,4.283748989
Azhar Mahmood,3.663654466
B Akhil,8.102879539
B Chipli,6.872738663
B Kumar,2.577045766
B Laughlin,6.418044862
B Lee,5.784115886
B Stanlake,7.374102957
B Sumanth,5.967876243
BA Bhatt,8.381596235
BA Stokes,8.319306411
BAW Mendis,6.613301933
BB McCullum,14.52050439
BB Samantray,8.025077831
BB Sran,1
BCJ Cutting,4.456691805
BE Hendricks,9.115225677
BJ Haddin,7.905999144
BJ Hodge,11.48548609
BJ Rohrer,6.791955082
BMAJ Mendis,3.662621433
BR Dunk,5.921310189
Basil Thampi,6.153525341
Bipul Sharma,5.217729964
C Madan,12.28153215
C Munro,4.67966049
C de Grandhomme,8.465502246
CA Ingram,4.290073668
CA Lynn,11.10279723
CA Pujara,8.072082758
CH Gayle,15.71494213
CH Morris,7.660500139
CJ Anderson,6.773124855
CJ Ferguson,6.293134938
CL White,10.66694165
CM Gautam,4.793276917
CR Brathwaite,7.120103737
CR Woakes,4.43784435
D Kalyankrishna,7.764084946
D Salunkhe,10.46005087
D Wiese,8.203179821
DA Miller,13.82845996
DA Warner,14.28803963
DAJ Bracewell,9.565843568
DB Das,7.549809439
DB Ravi Teja,5.808189319
DE Bollinger,7.999369209
DH Yagnik,6.805592873
DJ Bravo,10.9899239
DJ Harris,5.738784724
DJ Hooda,7.171764861
DJ Hussey,8.768874635
DJ Jacobs,5.09892155
DJ Thornely,4.567576301
DJG Sammy,7.402922448
DJM Short,5.030152413
DL Chahar,4.617390635
DL Vettori,3.143405977
DP Nannes,7.616260592
DP Vijaykumar,10.95699615
DPMD Jayawardene,14.46300553
DR Smith,13.99552743
DS Kulkarni,3.398352298
DS Lehmann,5.233365621
DT Christian,6.077500222
DT Patil,7.088526217
DW Steyn,5.422514728
E Lewis,8.34243541
EJG Morgan,6.75086033
F du Plessis,11.72133263
FH Edwards,4.06806245
FY Fazal,7.519891625
G Gambhir,16.52125433
GB Hogg,5.071016261
GC Smith,10.04822494
GC Viljoen,8.339266043
GD McGrath,8.303298921
GH Vihari,6.318006179
GJ Bailey,8.791702246
GJ Maxwell,9.728250332
GR Napier,7.824246146
Gurkeerat Singh,6.969744824
H Klaasen,3.798380037
