Team1,Team2,inning_1,inning_2
Kings XI Punjab,Chennai Super Kings,125,126
Royal Challengers Bangalore,Chennai Super Kings,102,122
Sunrisers Hyderabad,Chennai Super Kings,114,122
Chennai Super Kings,Deccan Chargers,121,121
Pune Warriors,Chennai Super Kings,122,122
Kolkata Knight Riders,Chennai Super Kings,81,120
Delhi Daredevils,Chennai Super Kings,119,88
Rajasthan Royals,Chennai Super Kings,96,122
Mumbai Indians,Chennai Super Kings,124,114
Deccan Chargers,Chennai Super Kings,123,121
Gujarat Lions,Delhi Daredevils,112,128
Deccan Chargers,Delhi Daredevils,122,126
Rising Pune Supergiants,Sunrisers Hyderabad,119,125
Kings XI Punjab,Deccan Chargers,114,126
Chennai Super Kings,Delhi Capitals,123,120
Sunrisers Hyderabad,Delhi Capitals,121,116
Chennai Super Kings,Delhi Daredevils,117,121
Delhi Daredevils,Deccan Chargers,108,123
Kolkata Knight Riders,Deccan Chargers,116,80
Kolkata Knight Riders,Delhi Daredevils,103,127
Kings XI Punjab,Delhi Capitals,122,122
Mumbai Indians,Deccan Chargers,114,120
Sunrisers Hyderabad,Delhi Daredevils,125,120
Delhi Daredevils,Gujarat Lions,127,121
Delhi Daredevils,Kings XI Punjab,125,123
Royal Challengers Bangalore,Deccan Chargers,113,114
Rajasthan Royals,Deccan Chargers,121,124
Mumbai Indians,Delhi Daredevils,124,119
Royal Challengers Bangalore,Delhi Capitals,123,95
Rajasthan Royals,Delhi Capitals,121,125
Royal Challengers Bangalore,Delhi Daredevils,124,110
Mumbai Indians,Gujarat Lions,129,126
Mumbai Indians,Kings XI Punjab,59,49
Chennai Super Kings,Kings XI Punjab,127,123
Delhi Daredevils,Kochi Tuskers Kerala,112,116
Kochi Tuskers Kerala,Chennai Super Kings,128,122
Rising Pune Supergiants,Kolkata Knight Riders,119,113
Kings XI Punjab,Delhi Daredevils,122,121
Gujarat Lions,Kings XI Punjab,123,124
Kings XI Punjab,Gujarat Lions,93,88
Rising Pune Supergiants,Delhi Daredevils,121,124
Deccan Chargers,Kings XI Punjab,127,125
Deccan Chargers,Kolkata Knight Riders,125,126
Gujarat Lions,Kolkata Knight Riders,124,91
Pune Warriors,Deccan Chargers,123,124
Kolkata Knight Riders,Gujarat Lions,123,123
Rising Pune Supergiant,Delhi Daredevils,122,72
Kochi Tuskers Kerala,Deccan Chargers,121,117
Chennai Super Kings,Kochi Tuskers Kerala,106,93
Kochi Tuskers Kerala,Delhi Daredevils,103,126
Sunrisers Hyderabad,Gujarat Lions,124,127
Kochi Tuskers Kerala,Kings XI Punjab,128,5
Rising Pune Supergiants,Gujarat Lions,124,109
Delhi Capitals,Rajasthan Royals,50,114
Delhi Daredevils,Kolkata Knight Riders,121,124
Delhi Daredevils,Mumbai Indians,120,119
