,Chennai Super Kings,Mumbai Indians
0,Abhinav Mukund,Abhishek Nayar
1,Albie Morkel,Ajinkya Rahane
2,Anirudha Srikkanth,André Nel
3,Chamara Kapugedera,Ankeet Chavan
4,Jacob Oram,Ashwell Prince
5,Joginder Sharma,Ashish Nehra
6,KB Arun Karthik,Dhawal Kulkarni
7,Lakshmipathy Balaji,Dilhara Fernando
8,Mahendra Singh Dhoni,Dominic Thornley
9,Makhaya Ntini,Dwayne Bravo
10,Manpreet Gony,Dwayne Smith
11,Matthew Hayden,Gaurav Dhiman
12,Mike Hussey,Harbhajan Singh
13,Muttiah Muralitharan,Lasith Malinga
14,Napoleon Einstein,Loots Bosman
15,Palani Amarnath,Luke Ronchi
16,Parthiv Patel,Manish Pandey
17,Ravichandran Ashwin,Mohammad Ashraful
18,Selvam Suresh Kumar,Musavir Khote
19,Shadab Jakati,Pinal Shah
20,Stephen Fleming,Rajesh Pawar
21,Subramaniam Badrinath,Robin Uthappa
22,Sudeep Tyagi,Rohan Raje
23,Suresh Raina,Sachin Tendulkar
24,Vidyut Sivaramakrishnan,Sanath Jayasuriya
25,Viraj Kadbe,Saurabh Tiwary
26,Player Name,Shaun Pollock
27,Player Name,Siddharth Chitnis
28,Player Name,Swapnil Singh
29,Player Name,Vikrant Yeligati
30,Player Name,Yogesh Takawale
